Last Name,First Name,Country,Date of birth,Date of birth.1,Date of birth.2,Course type,location,Gender,Swim,distance(m),25m,50m,100m
ZHANG,Yufei,CHN,19,APR,1998,long,Tokyo 2020,f,Butterfly,100,,26.02,00:55.9
WATTEL,Marie,FRA,2,JUN,1997,long,Tokyo 2020,f,Butterfly,100,,26.35,00:56.2
McKEON,Emma,AUS,24,MAY,1994,long,Tokyo 2020,f,Butterfly,100,,26.46,00:56.3
SJOESTROEM,Sarah,SWE,17,AUG,1993,long,Tokyo 2020,f,Butterfly,100,,26.85,00:56.4
MACNEIL,Margaret,USA,7,DEC,2002,long,Tokyo 2020,f,Butterfly,100,,26.18,00:56.5
HUSKE,Torri,CAN,26,FEB,2000,long,Tokyo 2020,f,Butterfly,100,,26.49,00:56.6
HANSSON,Louise,SWE,24,NOV,1996,long,Tokyo 2020,f,Butterfly,100,,26.55,00:56.9
SHKURDAI,Anastasiya,BLR,3,JAN,2003,long,Tokyo 2020,f,Butterfly,100,,26.78,00:57.2
NTOUNTOUNAKI,Anna,GRE,9,SEP,1995,long,Tokyo 2020,f,Butterfly,100,,26.42,00:57.3
CURZAN,Claire,USA,30,JUN,2004,long,Tokyo 2020,f,Butterfly,100,,26.43,00:57.4
CHIMROVA,Svetlana,ROC,15,APR,1996,long,Tokyo 2020,f,Butterfly,100,,26.86,00:57.5
THROSSELL,Brianna,AUS,10,FEB,1996,long,Tokyo 2020,f,Butterfly,100,,26.83,00:57.6
LIDDO,Elena,ITA,8,SEP,1993,long,Tokyo 2020,f,Butterfly,100,,26.68,00:57.6
SURKOVA,Arina,ROC,17,JUL,1998,long,Tokyo 2020,f,Butterfly,100,,26.49,00:57.7
BIANCHI,Ilaria,ITA,6,JAN,1990,long,Tokyo 2020,f,Butterfly,100,,26.98,00:58.1
SAVARD,Katerine,CAN,26,MAY,1993,long,Tokyo 2020,f,Butterfly,100,,26.88,00:58.1
PEATY,Adam,GBR,28,DEC,1994,long,Tokyo 2020,m,Breaststroke,100,,26.65,00:57.6
KAMMINGA,Arno,NED,22,OCT,1995,long,Tokyo 2020,m,Breaststroke,100,,27.2,00:58.2
MARTINENGHI,Nicolo,ITA,1,AUG,1999,long,Tokyo 2020,m,Breaststroke,100,,27.38,00:58.3
YAN,Zibei,CHN,12,OCT,1995,long,Tokyo 2020,m,Breaststroke,100,,27.45,00:58.7
ANDREW,Michael,USA,18,APR,1999,long,Tokyo 2020,m,Breaststroke,100,,27.24,00:59.0
WILBY,James,GBR,12,NOV,1993,long,Tokyo 2020,m,Breaststroke,100,,27.86,00:59.1
SHYMANOVICH,Ilya,BLR,2,AUG,1994,long,Tokyo 2020,m,Breaststroke,100,,27.04,00:59.1
