Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender,Stroke
"DUTHU, Jules",2004,FRA,02:10.9,30.08,33.64,34.22,m,Backstroke
"WAGNER, Guillaume",2004,FRA,02:12.6,29.97,33.52,34.18,m,Backstroke
"NOGUES, Ronan",2005,FRA,02:15.4,31.02,33.68,35.52,m,Backstroke
"LOPEZ, Thibaut",2007,FRA,02:16.1,32.13,34.7,35.29,m,Backstroke
"EL FAQIR, Wael",2006,FRA,02:20.4,31.71,33.89,36.75,m,Backstroke
"DRUET, Lenni",2006,FRA,02:22.2,33.45,36.18,36.7,m,Backstroke
"GRIFFITHS, Gwilym",2005,FRA,02:22.9,32.4,35.12,37.45,m,Backstroke
"SERIN, Timothee",2007,FRA,02:25.5,33.96,36.53,37.8,m,Backstroke
"JOLY, Mathieu",2005,FRA,02:26.6,33.4,36.77,38.5,m,Backstroke
"LAUREAU, Charly",2007,FRA,02:26.7,36.11,36.78,37.38,m,Backstroke
"MOUHIB, Yahya",2002,MAR,02:26.7,34.5,37.41,38.07,m,Backstroke
"OUDOT, Charles",2005,FRA,02:28.6,34.39,37.77,38.9,m,Backstroke
"BOIS, Mahe",2007,FRA,02:29.3,34.89,37.1,39.37,m,Backstroke
"BLANDIN, Feodor",2008,FRA,02:30.9,34.9,37.87,39.77,m,Backstroke
"COURAUD, Victor",2006,FRA,02:31.2,35.11,38.27,38.99,m,Backstroke
"CREED, Tristan-Janos",2007,GBR,02:32.2,35.38,38.49,39.61,m,Backstroke
"GARNIER, Mathis",2008,FRA,02:35.0,36.93,39.47,39.63,m,Backstroke
"DA SILVA-LENGLET, Auxence",2006,FRA,02:35.5,36.53,39.49,40.7,m,Backstroke
"KLIOUTCHKO, Yael",2009,FRA,02:35.6,35.59,39.19,42.4,m,Backstroke
"LIOTIER, Aaron",2008,FRA,02:36.5,36.4,40.62,41.92,m,Backstroke
"GIRERD, Hugo",2008,FRA,02:36.9,35.76,39.83,41.42,m,Backstroke
"RAFFIER, Paul",2007,FRA,02:38.1,35.66,39.99,41.56,m,Backstroke
"GRACZYK, Nathan",2007,FRA,02:38.2,35.58,39.77,41.51,m,Backstroke
"NACHON, Felicien",2007,FRA,02:38.6,37.3,40.21,41.76,m,Backstroke
"DUTHU, Jules",2004,FRA,02:12.1,29.4,32.75,35.29,m,Backstroke
"WAGNER, Guillaume",2004,FRA,02:13.6,30.44,33.36,34.81,m,Backstroke
"NOGUES, Ronan",2005,FRA,02:16.7,31.28,33.97,35.77,m,Backstroke
"LOPEZ, Thibaut",2007,FRA,02:18.9,33.23,35.14,35.47,m,Backstroke
"EL FAQIR, Wael",2006,FRA,02:22.5,31.09,36.08,37.86,m,Backstroke
"GRIFFITHS, Gwilym",2005,FRA,02:24.3,34.04,38.4,36.02,m,Backstroke
"DRUET, Lenni",2006,FRA,02:24.9,33.22,35.57,38.07,m,Backstroke
