,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"DUTHU, Jules",2004,FRA,2:10.87,30.08,33.64,34.22,0
1,"WAGNER, Guillaume",2004,FRA,2:12.60,29.97,33.52,34.18,0
2,"NOGUES, Ronan",2005,FRA,2:15.39,31.02,33.68,35.52,0
3,"LOPEZ, Thibaut",2007,FRA,2:16.07,32.13,34.70,35.29,0
4,"EL FAQIR, Wael",2006,FRA,2:20.36,31.71,33.89,36.75,0
5,"DRUET, Lenni",2006,FRA,2:22.19,33.45,36.18,36.70,0
6,"GRIFFITHS, Gwilym",2005,FRA,2:22.89,32.40,35.12,37.45,0
7,"SERIN, Timothee",2007,FRA,2:25.46,33.96,36.53,37.80,0
8,"JOLY, Mathieu",2005,FRA,2:26.62,33.40,36.77,38.50,0
9,"LAUREAU, Charly",2007,FRA,2:26.71,36.11,36.78,37.38,0
10,"MOUHIB, Yahya",2002,MAR,2:26.73,34.50,37.41,38.07,0
11,"OUDOT, Charles",2005,FRA,2:28.59,34.39,37.77,38.90,0
12,"BOIS, Mahe",2007,FRA,2:29.27,34.89,37.10,39.37,0
13,"BLANDIN, Feodor",2008,FRA,2:30.89,34.90,37.87,39.77,0
14,"COURAUD, Victor",2006,FRA,2:31.21,35.11,38.27,38.99,0
15,"CREED, Tristan-Janos",2007,GBR,2:32.18,35.38,38.49,39.61,0
16,"GARNIER, Mathis",2008,FRA,2:35.03,36.93,39.47,39.63,0
17,"DA SILVA-LENGLET, Auxence",2006,FRA,2:35.55,36.53,39.49,40.70,0
18,"KLIOUTCHKO, Yael",2009,FRA,2:35.56,35.59,39.19,42.40,0
19,"LIOTIER, Aaron",2008,FRA,2:36.49,36.40,40.62,41.92,0
20,"GIRERD, Hugo",2008,FRA,2:36.90,35.76,39.83,41.42,0
21,"RAFFIER, Paul",2007,FRA,2:38.07,35.66,39.99,41.56,0
22,"GRACZYK, Nathan",2007,FRA,2:38.19,35.58,39.77,41.51,0
23,"NACHON, Felicien",2007,FRA,2:38.60,37.30,40.21,41.76,0
24,"DUTHU, Jules",2004,FRA,2:12.09,29.40,32.75,35.29,0
25,"WAGNER, Guillaume",2004,FRA,2:13.61,30.44,33.36,34.81,0
26,"NOGUES, Ronan",2005,FRA,2:16.73,31.28,33.97,35.77,0
