,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"MURPHY, Ryan F",1995,USA,1:53.62,27.10,28.46,28.97,0
1,"LARKIN, Mitchell",1993,AUS,1:53.96,26.61,28.96,29.18,0
2,"RYLOV, Evgeny",1996,RUS,1:53.97,27.01,28.84,29.40,0
3,"XU, Jiayu",1995,CHN,1:55.16,27.31,29.46,29.25,0
4,"PEBLEY, Jacob M",1993,USA,1:55.52,27.12,28.87,29.40,0
5,"LI, Guangyuan",1997,CHN,1:55.89,27.50,29.01,29.71,0
6,"DIENER, Christian",1993,GER,1:56.27,26.87,28.93,30.20,0
7,"IRIE, Ryosuke",1990,JPN,1:56.36,27.16,29.63,29.68,0
8,"RYLOV, Evgeny",1996,RUS,1:54.45,27.06,29.07,29.17,0
9,"LARKIN, Mitchell",1993,AUS,1:54.73,26.69,29.02,29.46,0
10,"PEBLEY, Jacob M",1993,USA,1:54.92,26.97,28.76,29.64,0
11,"MURPHY, Ryan F",1995,USA,1:55.15,26.89,29.39,29.93,0
12,"XU, Jiayu",1995,CHN,1:55.66,27.30,29.26,29.71,0
13,"LI, Guangyuan",1997,CHN,1:55.92,27.52,29.32,29.62,0
14,"IRIE, Ryosuke",1990,JPN,1:56.31,27.18,29.53,30.18,0
15,"DIENER, Christian",1993,GER,1:56.37,27.11,29.45,29.82,0
16,"GLANIA, Jan-Philip",1988,GER,1:56.53,27.28,29.66,30.36,0
17,"BEAVER, Josh",1993,AUS,1:56.57,26.40,29.80,30.04,0
18,"KANEKO, Masaki",1992,JPN,1:56.78,27.09,29.62,29.88,0
19,"SHABASOV, Andrey",1994,RUS,1:56.84,27.60,29.03,30.45,0
20,"DE DEUS, Leonardo",1991,BRA,1:57.67,27.53,29.40,30.48,0
21,"MAIN, Corey C",1995,NZL,1:58.08,27.93,29.62,30.18,0
22,"TOUMARKIN, Yakov Yan",1992,ISR,1:58.63,27.48,29.79,30.48,0
23,"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,1:59.08,28.06,30.35,30.70,0
24,"RYLOV, Evgeny",1996,RUS,1:55.02,27.41,29.67,29.12,0
25,"XU, Jiayu",1995,CHN,1:55.51,27.54,29.16,29.46,0
26,"LARKIN, Mitchell",1993,AUS,1:56.01,27.03,29.66,29.80,0
27,"MURPHY, Ryan F",1995,USA,1:56.29,27.33,29.40,29.63,0
28,"PEBLEY, Jacob M",1993,USA,1:56.44,27.54,29.73,29.90,0
29,"SHABASOV, Andrey",1994,RUS,1:56.50,27.38,28.95,30.49,0
30,"GLANIA, Jan-Philip",1988,GER,1:56.50,27.29,29.86,29.90,0
31,"IRIE, Ryosuke",1990,JPN,1:56.61,27.41,29.89,29.90,0
32,"DIENER, Christian",1993,GER,1:56.62,26.88,29.76,29.68,0
33,"BEAVER, Josh",1993,AUS,1:56.65,27.12,29.85,29.78,0
34,"LI, Guangyuan",1997,CHN,1:56.85,27.52,29.18,29.98,0
35,"DE DEUS, Leonardo",1991,BRA,1:57.00,27.31,29.44,29.90,0
36,"KANEKO, Masaki",1992,JPN,1:57.19,27.53,29.45,30.17,0
37,"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,1:57.50,27.13,30.12,30.16,0
38,"MAIN, Corey C",1995,NZL,1:57.51,28.00,29.38,30.08,0
39,"TOUMARKIN, Yakov Yan",1992,ISR,1:57.58,27.47,29.66,29.93,0
40,"KAWECKI, Radoslaw",1991,POL,1:57.61,27.71,30.14,30.02,0
41,"GLINTA, Robert",1997,ROU,1:57.91,27.69,30.02,30.63,0
42,"TELEGDY, Adam",1995,HUN,1:59.09,27.88,29.54,30.71,0
