,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"BALANDIN, Dmitriy",1995,KAZ,2:07.46,29.43,31.96,32.76,0
1,"PRENOT, Josh C",1993,USA,2:07.53,29.35,32.70,32.33,0
2,"CHUPKOV, Anton",1997,RUS,2:07.70,29.85,32.51,32.86,0
3,"WILLIS, Andrew",1990,GBR,2:07.78,29.50,32.88,32.68,0
4,"KOSEKI, Yasuhiro",1992,JPN,2:07.80,29.00,31.86,32.88,0
5,"WATANABE, Ippei",1997,JPN,2:07.87,29.41,32.94,32.77,0
6,"KOCH, Marco",1990,GER,2:08.00,29.25,33.06,32.65,0
7,"CORDES, Kevin",1993,USA,2:08.34,29.10,33.39,32.60,0
8,"WATANABE, Ippei",1997,JPN,2:07.22,29.14,32.69,32.72,0
9,"WILLIS, Andrew",1990,GBR,2:07.73,29.04,33.00,32.87,0
10,"PRENOT, Josh C",1993,USA,2:07.78,29.43,32.72,32.53,0
11,"KOSEKI, Yasuhiro",1992,JPN,2:07.91,28.88,32.93,33.45,0
12,"CORDES, Kevin",1993,USA,2:07.99,28.97,32.43,32.83,0
13,"CHUPKOV, Anton",1997,RUS,2:08.08,29.42,32.99,33.12,0
14,"KOCH, Marco",1990,GER,2:08.12,29.20,33.34,32.74,0
15,"BALANDIN, Dmitriy",1995,KAZ,2:08.20,29.05,32.74,33.32,0
16,"MAO, Feilian",1993,CHN,2:09.64,29.71,33.42,33.70,0
17,"KHOMENKO, Ilya",1995,RUS,2:09.73,29.57,32.98,33.23,0
18,"PERSSON, Erik",1994,SWE,2:10.12,29.92,33.11,33.33,0
19,"LI, Xiang",1993,CHN,2:10.92,29.35,33.98,33.88,0
20,"BENSON, Craig H",1994,GBR,2:10.93,29.78,32.99,33.65,0
21,"PIZZINI, Luca",1989,ITA,2:11.53,29.70,33.43,34.20,0
22,"CLAVERIE, Carlos",1996,VEN,2:11.56,29.69,33.31,33.36,0
23,"MATTSSON, Matti",1993,FIN,2:12.99,29.62,33.16,34.03,0
24,"CHUPKOV, Anton",1997,RUS,2:07.93,29.59,33.18,32.75,0
25,"KOSEKI, Yasuhiro",1992,JPN,2:08.61,28.90,33.05,33.08,0
26,"WILLIS, Andrew",1990,GBR,2:08.92,29.67,33.00,33.61,0
27,"KHOMENKO, Ilya",1995,RUS,2:08.94,29.19,32.97,33.37,0
28,"KOCH, Marco",1990,GER,2:08.98,29.85,32.85,33.21,0
29,"BALANDIN, Dmitriy",1995,KAZ,2:09.00,30.08,32.89,33.50,0
30,"CORDES, Kevin",1993,USA,2:09.30,29.36,33.05,33.51,0
31,"WATANABE, Ippei",1997,JPN,2:09.63,29.20,33.17,33.39,0
32,"MAO, Feilian",1993,CHN,2:09.80,29.98,33.11,33.93,0
33,"PRENOT, Josh C",1993,USA,2:09.91,29.95,33.28,33.35,0
34,"MATTSSON, Matti",1993,FIN,2:10.09,29.46,33.07,33.56,0
35,"PERSSON, Erik",1994,SWE,2:10.15,29.94,32.66,33.70,0
36,"LI, Xiang",1993,CHN,2:10.17,29.47,33.69,33.68,0
37,"CLAVERIE, Carlos",1996,VEN,2:10.35,29.82,33.34,33.03,0
38,"BENSON, Craig H",1994,GBR,2:11.19,30.18,33.57,33.76,0
39,"PIZZINI, Luca",1989,ITA,2:11.26,29.52,33.96,33.80,0
40,"GYURTA, Daniel",1989,HUN,2:11.28,29.66,33.22,33.73,0
41,"MCKEE, Anton Sveinn",1993,ISL,2:11.39,30.54,33.40,33.66,0
42,"QUINN, Nicholas",1993,IRL,2:11.67,29.56,33.35,33.63,0
43,"KAESER, Yannick",1992,SUI,2:11.77,30.44,33.37,33.92,0
44,"CARNOL, Laurent",1989,LUX,2:11.94,30.38,33.48,34.08,0
45,"TITENIS, Giedrius",1989,LTU,2:12.13,29.84,33.70,33.91,0
46,"SNYDERS, Glenn A",1987,NZL,2:12.47,29.62,33.50,34.42,0
47,"BAUMANN, Ashton",1993,CAN,2:12.61,29.98,33.31,34.27,0
48,"CROUS, Jarred",1996,RSA,2:12.64,29.68,33.34,34.27,0
49,"VAN DER BURGH, Cameron",1988,RSA,2:12.67,28.70,33.49,34.25,0
50,"SAMILIDIS, Panagiotis",1993,GRE,2:12.68,30.23,33.16,34.52,0
51,"MURILLO VALDES, Jorge Mario",1991,COL,2:12.81,29.53,34.12,34.81,0
52,"CERDEIRA, Tales",1987,BRA,2:12.83,29.37,32.71,34.03,0
53,"HORVATH, David",1996,HUN,2:13.24,30.33,34.19,34.39,0
54,"CHOI, Kyu Woong",1990,KOR,2:13.36,29.82,33.93,34.64,0
55,"CAERTS, Basten",1997,BEL,2:13.44,29.31,33.58,34.30,0
56,"ALLIKVEE, Martin",1995,EST,2:13.66,30.62,33.95,34.55,0
57,"LEE, Hsuan-Yen",1993,TPE,2:14.84,29.60,34.30,34.15,0
58,"KOULOURIS, Dimitrios",1991,GRE,2:14.86,30.03,33.72,34.79,0
59,"SIMON, Thiago",1990,BRA,2:15.01,29.04,33.67,34.82,0
60,"OSELEDETS, Dmytro",1994,UKR,2:15.19,29.94,33.76,35.14,0
61,"PETRASHOV, Denis",2000,KGZ,2:16.57,30.69,35.52,35.45,0
62,"NASIMI SHAD, Arya",1999,IRI,2:20.18,32.47,35.64,36.08,0
63,"KANETOU, Rie",1988,JPN,2:20.30,32.74,35.52,35.97,1
64,"EFIMOVA, Yuliya",1992,RUS,2:21.97,33.10,35.61,35.84,1
65,"SHI, Jinglin",1993,CHN,2:22.28,32.89,36.15,36.59,1
66,"TUTTON, Chloe",1996,GBR,2:22.34,32.39,36.75,35.91,1
67,"MCKEOWN, Taylor",1995,AUS,2:22.43,32.26,35.73,37.04,1
68,"RENSHAW, Molly",1996,GBR,2:22.72,32.66,36.05,36.47,1
69,"SMITH, Kierra",1994,CAN,2:23.19,32.97,36.14,36.77,1
70,"PEDERSEN, Rikke Moeller",1989,DEN,2:23.74,32.08,36.34,36.53,1
