,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"CHUPKOV, Anton",1997,RUS,2:06.99,29.74,32.57,32.43,0
1,"KAMMINGA, Arno",1995,NED,2:07.35,29.24,32.99,32.89,0
2,"PERSSON, Erik",1994,SWE,2:07.66,29.24,32.22,32.86,0
3,"MATTSSON, Matti",1993,FIN,2:08.48,29.02,32.19,32.92,0
4,"MURDOCH, Ross",1994,GBR,2:08.58,29.57,32.46,32.87,0
5,"PRIGODA, Kirill",1995,RUS,2:09.23,28.82,33.20,33.57,0
6,"CORBEAU, Caspar",2001,NED,2:09.73,29.54,32.92,33.65,0
7,"WILBY, James",1993,GBR,2:10.34,29.45,32.93,33.73,0
8,"PERSSON, Erik",1994,SWE,2:07.85,29.29,32.38,32.70,0
9,"CHUPKOV, Anton",1997,RUS,2:07.94,29.81,33.39,32.66,0
10,"MATTSSON, Matti",1993,FIN,2:08.26,29.28,32.86,32.99,0
11,"KAMMINGA, Arno",1995,NED,2:08.31,28.98,33.20,33.73,0
12,"MURDOCH, Ross",1994,GBR,2:08.83,29.79,32.72,33.17,0
13,"PRIGODA, Kirill",1995,RUS,2:08.84,28.92,33.24,33.38,0
14,"WILBY, James",1993,GBR,2:09.90,29.41,33.06,33.75,0
15,"CORBEAU, Caspar",2001,NED,2:09.97,29.59,33.34,33.50,0
16,"KOCH, Marco",1990,GER,2:10.03,29.53,33.41,33.57,0
17,"SIDLAUSKAS, Andrius",1997,LTU,2:10.08,29.61,33.32,33.69,0
18,"GIORGETTI, Edoardo",1989,ITA,2:10.50,29.66,33.82,33.33,0
19,"TITENIS, Giedrius",1989,LTU,2:10.91,29.86,33.26,33.39,0
20,"EPITROPOV, Lyubomir E",1999,BUL,2:11.19,29.92,33.34,34.12,0
21,"BAYER, Valentin",1999,AUT,2:11.57,30.13,33.16,34.34,0
22,"PAULSSON, Adam",1995,SWE,2:12.00,29.83,33.76,34.04,0
23,"ROTHBAUER, Christopher",1998,AUT,2:12.97,30.05,33.96,34.90,0
24,"KAMMINGA, Arno",1995,NED,2:07.39,28.93,32.94,32.95,0
25,"MATTSSON, Matti",1993,FIN,2:08.43,28.99,32.23,33.20,0
26,"PRIGODA, Kirill",1995,RUS,2:09.21,29.24,32.92,33.37,0
