,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"MILAK, Kristof",2000,HUN,1:51.10,24.57,28.55,28.64,0
1,"BURDISSO, Federico",2001,ITA,1:54.28,25.06,28.13,29.77,0
2,"KENDERESI, Tamas",1996,HUN,1:54.43,25.50,29.08,29.76,0
3,"IVANOV, Antani A",1999,BUL,1:54.50,25.29,29.00,29.76,0
4,"PONTI, Noe",2001,SUI,1:55.18,25.55,29.33,29.79,0
5,"CROENEN, Louis",1994,BEL,1:55.69,25.60,29.45,30.23,0
6,"KUDASHEV, Alexander",1995,RUS,1:56.33,25.80,29.34,30.45,0
7,"CARINI, Giacomo",1997,ITA,1:56.69,25.66,29.09,30.57,0
8,"KENDERESI, Tamas",1996,HUN,1:54.37,25.83,29.34,30.05,0
9,"MILAK, Kristof",2000,HUN,1:54.72,24.87,29.80,30.31,0
10,"BURDISSO, Federico",2001,ITA,1:55.03,25.46,28.89,29.91,0
11,"IVANOV, Antani A",1999,BUL,1:55.45,25.83,29.39,30.32,0
12,"PONTI, Noe",2001,SUI,1:55.81,25.67,29.26,30.62,0
13,"CARINI, Giacomo",1997,ITA,1:55.87,25.68,28.87,30.39,0
14,"CROENEN, Louis",1994,BEL,1:55.96,25.69,29.56,30.24,0
15,"KUDASHEV, Alexander",1995,RUS,1:56.43,25.90,29.48,30.02,0
16,"CHMIELEWSKI, Krzysztof",2004,POL,1:56.51,25.92,29.68,30.33,0
17,"ZIRK, Kregor",1999,EST,1:56.63,26.05,29.24,30.30,0
18,"TROYANOVS'KYY, Igor",2002,UKR,1:56.96,26.40,30.29,30.13,0
19,"KESIL', Denys",2000,UKR,1:56.99,25.87,29.68,30.45,0
20,"MAJERSKI, Jakub",2000,POL,1:57.58,26.04,29.78,30.45,0
21,"MARCHAND, Leon",2002,FRA,1:57.77,26.05,29.93,30.19,0
22,"SANCOV, Alexei",1999,MDA,1:57.85,25.81,29.88,30.26,0
23,"KLENZ, Ramon",1998,GER,1:58.26,25.89,29.74,30.68,0
24,"MILAK, Kristof",2000,HUN,1:54.38,25.22,29.47,29.53,0
25,"IVANOV, Antani A",1999,BUL,1:54.72,25.83,28.98,29.93,0
26,"CHMIELEWSKI, Krzysztof",2004,POL,1:55.46,26.09,29.28,29.37,0
27,"PONTI, Noe",2001,SUI,1:55.67,25.39,29.22,30.40,0
28,"BURDISSO, Federico",2001,ITA,1:55.73,25.49,28.26,29.84,0
29,"MAJERSKI, Jakub",2000,POL,1:56.27,25.66,29.24,30.09,0
30,"MARCHAND, Leon",2002,FRA,1:56.33,26.11,29.29,30.19,0
31,"CARINI, Giacomo",1997,ITA,1:56.69,26.01,29.28,30.39,0
32,"KENDERESI, Tamas",1996,HUN,1:57.02,25.71,29.11,30.61,0
33,"CHRZANOWSKI, Damian",1998,POL,1:57.18,25.98,29.72,30.23,0
34,"KUDASHEV, Alexander",1995,RUS,1:57.19,25.87,29.73,30.36,0
35,"CROENEN, Louis",1994,BEL,1:57.31,25.96,29.44,30.69,0
36,"KESIL', Denys",2000,UKR,1:57.32,26.01,29.94,31.05,0
37,"TROYANOVS'KYY, Igor",2002,UKR,1:57.38,26.95,30.45,30.04,0
38,"ZIRK, Kregor",1999,EST,1:57.56,26.49,29.67,30.63,0
39,"SANCOV, Alexei",1999,MDA,1:57.78,25.84,30.44,29.76,0
40,"KLENZ, Ramon",1998,GER,1:57.96,25.86,29.74,30.98,0
41,"POPRAWA, Michal",1994,POL,1:58.11,26.39,29.76,30.75,0
42,"GEMOV, Ondrej",1999,CZE,1:58.19,26.35,29.79,30.66,0
43,"PONS RAMON, Joan Lluis",1996,ESP,1:58.52,27.02,30.29,30.58,0
44,"HLOBEN, Adam",2001,CZE,1:58.57,26.10,30.57,30.86,0
45,"BICZO, Bence",1993,HUN,1:58.73,26.31,29.68,30.81,0
46,"TOROK, Dominik Mark",2002,HUN,1:58.88,26.14,30.46,31.08,0
47,"MILDRED, Edward",2003,GBR,1:59.04,27.16,30.39,30.37,0
48,"DIMITRIADIS, Stefanos",1989,GRE,1:59.32,27.18,30.54,30.54,0
49,"GONZALEZ ALVAREZ, Arbidel",2002,ESP,1:59.64,26.48,29.95,30.64,0
50,"GSCHWENTNER, Xaver",1999,AUT,1:59.66,26.31,30.20,31.13,0
51,"SHEMBEREV, Maksym",1993,AZE,1:59.76,27.63,30.30,31.03,0
52,"LUNAK, Sebastian",2002,CZE,2:00.00,25.84,29.56,31.18,0
53,"ESPERNBERGER, Martin",2003,AUT,2:01.17,26.67,30.64,31.32,0
54,"TOSCAN, Marius",2002,SUI,2:01.20,27.67,30.60,31.32,0
55,"CARNEIRO, Joao Soares",2003,LUX,2:01.92,27.02,31.11,31.76,0
56,"VALIZADA, Ramil",2004,AZE,2:04.80,28.37,31.75,32.84,0
57,"KHRYPUNOV, Ievhen",2002,UKR,2:05.01,27.88,31.23,32.28,0
58,"PETROVSKI, Davor",2000,MKD,2:05.75,28.15,31.78,32.37,0
59,"PUYO, Emilien",2003,MON,2:11.42,28.88,33.57,34.07,0
60,"KAPAS, Boglarka",1993,HUN,2:06.50,29.09,32.74,32.22,1
61,"HOSSZU, Katinka",1989,HUN,2:08.14,29.21,33.06,33.08,1
62,"CHIMROVA, Svetlana",1996,RUS,2:08.55,29.16,33.25,33.15,1
63,"BACH, Helena Rosendahl",2000,DEN,2:08.89,29.44,32.32,33.36,1
64,"CUSINATO, Ilaria",1999,ITA,2:08.91,29.57,32.67,33.44,1
65,"STEPHENS, Laura Kathleen",1999,GBR,2:09.42,29.05,32.97,33.24,1
66,"DEMLER, Kathrin",1996,GER,2:09.94,29.89,33.09,33.35,1
67,"MACINNES, Keanna",2001,GBR,2:10.25,29.02,33.59,33.78,1
68,"KAPAS, Boglarka",1993,HUN,2:07.25,29.16,32.92,32.70,1
69,"HOSSZU, Katinka",1989,HUN,2:08.75,29.03,33.09,33.72,1
70,"BACH, Helena Rosendahl",2000,DEN,2:08.95,29.39,32.94,33.17,1
71,"CHIMROVA, Svetlana",1996,RUS,2:09.08,29.21,33.36,32.78,1
72,"CUSINATO, Ilaria",1999,ITA,2:09.32,29.16,33.03,33.49,1
73,"STEPHENS, Laura Kathleen",1999,GBR,2:09.39,29.20,33.00,33.49,1
74,"DEMLER, Kathrin",1996,GER,2:09.59,29.77,32.89,33.57,1
75,"MACINNES, Keanna",2001,GBR,2:09.76,29.25,33.40,33.62,1
76,"MONTEIRO, Ana Catarina",1993,POR,2:10.07,29.62,33.31,33.39,1
77,"USTUNDAG, Nida Eliz",1996,TUR,2:10.11,29.89,33.35,33.47,1
78,"CRISPINO, Antonella",2003,ITA,2:10.74,29.48,33.59,34.33,1
79,"HUFNAGL, Claudia",1996,AUT,2:12.32,30.03,33.49,33.71,1
80,"NAZIEBLO, Klaudia",1993,POL,2:12.57,29.43,33.28,34.25,1
81,"TORRONTEGUI GUTIERREZ, Carlota",2003,ESP,2:14.53,29.25,34.04,35.09,1
82,"KAJTAZ, Amina",1996,BIH,2:15.52,29.63,33.50,35.03,1
83,"BORER, Fanny",1996,SUI,2:15.79,30.89,34.38,35.04,1
84,"KAPAS, Boglarka",1993,HUN,2:07.61,29.18,33.20,32.63,1
85,"HOSSZU, Katinka",1989,HUN,2:08.36,29.01,32.94,33.38,1
86,"STEPHENS, Laura Kathleen",1999,GBR,2:09.15,29.18,32.81,33.22,1
87,"JAKABOS, Zsuzsanna",1989,HUN,2:09.35,29.13,32.62,33.68,1
88,"BACH, Helena Rosendahl",2000,DEN,2:09.42,30.09,32.31,33.19,1
89,"CHIMROVA, Svetlana",1996,RUS,2:09.48,29.18,33.11,33.49,1
90,"MACINNES, Keanna",2001,GBR,2:09.82,29.00,33.08,33.64,1
91,"CUSINATO, Ilaria",1999,ITA,2:10.18,29.31,32.88,33.61,1
92,"MONTEIRO, Ana Catarina",1993,POR,2:10.73,29.51,33.30,33.82,1
93,"HATHAZI, Dora",2003,HUN,2:10.75,29.53,33.39,33.53,1
94,"DEMLER, Kathrin",1996,GER,2:10.84,29.63,33.02,33.97,1
95,"USTUNDAG, Nida Eliz",1996,TUR,2:11.02,29.96,33.20,33.74,1
96,"LARGE, Emily",2001,GBR,2:11.08,29.68,33.13,34.11,1
97,"THOMAS, Alys",1990,GBR,2:11.51,29.09,32.75,33.84,1
98,"CRISPINO, Antonella",2003,ITA,2:11.85,29.46,33.85,34.10,1
99,"NAZIEBLO, Klaudia",1993,POL,2:12.82,29.24,33.18,33.71,1
100,"HUFNAGL, Claudia",1996,AUT,2:12.87,30.12,33.34,34.04,1
101,"TORRONTEGUI GUTIERREZ, Carlota",2003,ESP,2:13.33,29.47,34.09,34.28,1
102,"NTOUNTOUNAKI, Anna",1995,GRE,2:14.69,28.94,34.17,35.59,1
103,"KAJTAZ, Amina",1996,BIH,2:14.98,29.69,33.21,34.16,1
104,"BORER, Fanny",1996,SUI,2:15.83,30.70,34.38,35.39,1
105,"LAHTINEN, Laura",2003,FIN,2:16.09,30.22,34.17,34.99,1
106,"KNOP, Aleksandra",2003,POL,2:16.09,29.75,34.35,35.36,1
107,"HRSTO, Iva",2004,CRO,2:17.04,31.32,34.72,35.23,1
108,"SCHAAD, Tamara",2002,SUI,2:17.48,30.41,34.43,36.28,1
109,"KOSTROMINA, Viktoriya",2004,UKR,2:19.20,30.96,34.76,36.16,1
110,"AVDIC, Iman",2007,BIH,2:23.73,30.68,35.48,37.50,1
111,"ROCK, Katie",2003,ALB,2:30.07,32.89,37.49,39.29,1
