,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"MUSITELLI, Enzo",2003,FRA,2:00.25,28.27,30.63,30.89,0
1,"RAMAUX, Lucas",2004,FRA,2:00.32,28.14,30.74,31.09,0
2,"MAZE, Arthur",2004,FRA,2:00.99,27.98,30.39,31.44,0
3,"DERANGERE, Neo",2005,FRA,2:02.18,28.55,31.29,31.11,0
4,"FADDA SAUVAGEOT, Romeo-Cesar",2007,FRA,2:02.24,27.75,30.82,31.62,0
5,"QUERLIN-ORILLARD, Tristan",2006,FRA,2:04.19,28.77,31.43,32.87,0
6,"ROBIN, Mateo",2005,FRA,2:04.29,28.64,31.71,33.05,0
7,"CUENIN, Lucas",2004,FRA,2:04.69,27.92,30.62,32.25,0
8,"BOVAY, Theo",2005,FRA,2:05.17,29.23,31.53,33.20,0
9,"BAYRAT, Aksel",2004,FRA,2:06.56,28.00,32.36,33.57,0
10,"FERRETTE-PEYRONNET, Nathan",2006,FRA,2:06.60,29.51,33.56,32.54,0
11,"JOLY, Mathieu",2005,FRA,2:06.96,28.97,32.22,32.62,0
12,"MERKEL, Luc",2005,FRA,2:06.97,28.63,33.21,33.51,0
13,"POSTAL, Adrien",2004,FRA,2:07.06,28.75,31.55,33.42,0
14,"ROLET, Adan",2006,FRA,2:07.16,29.42,33.58,31.98,0
15,"ESCARAVAGE, Quentin",2003,FRA,2:07.36,28.97,31.13,33.73,0
16,"LOPEZ, Thibaut",2007,FRA,2:08.67,30.01,32.55,33.81,0
17,"DEFOIS-PERNOT, Oscar",2008,FRA,2:10.57,29.60,33.12,33.89,0
18,"LE BAIL, Tom",2007,FRA,2:13.39,31.14,34.03,35.21,0
19,"DA COSTA, Sacha",2007,FRA,2:15.19,30.61,34.26,34.92,0
20,"PERRIOT-COMTE, Nathan",2008,FRA,2:18.18,31.92,34.53,36.29,0
21,"CHAMPMARTIN, Youri",2008,FRA,2:19.02,31.50,36.04,36.31,0
22,"BOIS, Mahe",2007,FRA,2:19.13,32.10,34.83,36.99,0
23,"MEFTAH SAOUES--POULOT, Loris",2008,FRA,2:19.43,30.77,35.44,36.69,0
24,"MUSITELLI, Enzo",2003,FRA,2:00.27,28.64,30.92,30.57,0
25,"RAMAUX, Lucas",2004,FRA,2:01.06,28.21,30.71,31.37,0
26,"MAZE, Arthur",2004,FRA,2:01.92,28.67,31.77,31.05,0
27,"DERANGERE, Neo",2005,FRA,2:02.01,27.82,30.51,31.75,0
28,"CUENIN, Lucas",2004,FRA,2:03.67,26.78,30.37,32.42,0
29,"FADDA SAUVAGEOT, Romeo-Cesar",2007,FRA,2:03.96,28.87,31.20,32.53,0
30,"POSTAL, Adrien",2004,FRA,2:05.53,29.12,31.99,32.04,0
31,"JOLY, Mathieu",2005,FRA,2:05.86,28.99,31.60,32.34,0
32,"ROBIN, Mateo",2005,FRA,2:06.08,29.07,31.91,32.60,0
33,"EL FAQIR, Wael",2006,FRA,2:06.18,28.94,31.39,33.13,0
34,"FERRETTE-PEYRONNET, Nathan",2006,FRA,2:06.35,28.78,32.23,33.01,0
35,"QUERLIN-ORILLARD, Tristan",2006,FRA,2:06.49,29.02,32.75,33.30,0
36,"BAYRAT, Aksel",2004,FRA,2:06.92,28.66,32.74,33.65,0
37,"BOVAY, Theo",2005,FRA,2:07.20,29.45,32.16,33.41,0
38,"MERKEL, Luc",2005,FRA,2:07.72,29.30,33.47,33.42,0
