,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"SUN, Yang",1991,CHN,1:44.65,24.87,26.70,26.37,0
1,"LE CLOS, Chad Guy Bertrand",1992,RSA,1:45.20,23.39,26.97,27.35,0
2,"DWYER, Conor",1989,USA,1:45.23,24.54,26.67,26.60,0
3,"GUY, James",1995,GBR,1:45.49,24.78,26.46,27.46,0
4,"HAAS, Francis T",1996,USA,1:45.58,24.88,26.62,27.47,0
5,"BIEDERMANN, Paul",1986,GER,1:45.84,25.17,26.64,27.21,0
6,"HAGINO, Kosuke",1994,JPN,1:45.90,24.79,27.08,27.50,0
7,"KRASNYKH, Alexander",1995,RUS,1:45.91,24.79,26.94,26.85,0
8,"SUN, Yang",1991,CHN,1:44.63,24.83,26.71,26.65,0
9,"HAGINO, Kosuke",1994,JPN,1:45.45,24.49,26.88,27.62,0
10,"DWYER, Conor",1989,USA,1:45.55,24.72,26.96,27.11,0
11,"KRASNYKH, Alexander",1995,RUS,1:45.69,25.12,26.41,27.19,0
12,"BIEDERMANN, Paul",1986,GER,1:45.69,24.88,26.85,27.03,0
13,"HAAS, Francis T",1996,USA,1:45.92,24.74,26.64,27.14,0
14,"LE CLOS, Chad Guy Bertrand",1992,RSA,1:45.94,23.91,26.79,27.74,0
15,"GUY, James",1995,GBR,1:46.23,24.52,26.92,27.28,0
16,"FRASER-HOLMES, Thomas",1991,AUS,1:46.24,24.44,26.95,27.32,0
17,"MAJCHRZAK, Kacper",1992,POL,1:46.30,24.77,27.12,27.41,0
18,"VERSCHUREN, Sebastiaan",1988,NED,1:46.34,25.08,26.73,27.57,0
19,"BROWN, Devon M",1992,RSA,1:46.57,25.17,26.78,27.72,0
20,"STJEPANOVIC, Velimir",1993,SRB,1:47.28,24.28,27.05,27.48,0
21,"SURGELOOSE, Glenn",1989,BEL,1:47.36,25.35,27.06,27.71,0
22,"KOZMA, Dominik",1991,HUN,1:47.53,24.68,26.88,27.86,0
23,"QUINTERO, Cristian",1992,VEN,1:48.00,24.89,27.01,27.80,0
24,"SUN, Yang",1991,CHN,1:45.75,25.36,26.87,27.12,0
25,"BIEDERMANN, Paul",1986,GER,1:45.78,24.99,26.71,27.02,0
26,"LE CLOS, Chad Guy Bertrand",1992,RSA,1:45.89,24.16,26.50,27.68,0
27,"DWYER, Conor",1989,USA,1:45.95,24.73,26.90,27.18,0
28,"HAAS, Francis T",1996,USA,1:46.13,24.90,26.60,27.36,0
29,"GUY, James",1995,GBR,1:46.13,24.77,26.75,27.51,0
30,"HAGINO, Kosuke",1994,JPN,1:46.19,24.99,27.10,27.63,0
31,"VERSCHUREN, Sebastiaan",1988,NED,1:46.32,25.03,27.03,27.19,0
32,"FRASER-HOLMES, Thomas",1991,AUS,1:46.49,24.72,26.96,27.57,0
33,"STJEPANOVIC, Velimir",1993,SRB,1:46.64,24.75,26.61,27.69,0
34,"STRAVIUS, Jeremy",1988,FRA,1:46.67,24.46,26.62,27.96,0
35,"KOZMA, Dominik",1991,HUN,1:46.68,24.84,26.69,27.40,0
36,"BROWN, Devon M",1992,RSA,1:46.78,24.82,26.97,27.92,0
37,"QUINTERO, Cristian",1992,VEN,1:47.02,25.06,26.87,27.22,0
38,"MAJCHRZAK, Kacper",1992,POL,1:47.12,25.24,27.75,27.33,0
39,"KRASNYKH, Alexander",1995,RUS,1:47.15,25.30,26.75,27.29,0
40,"SURGELOOSE, Glenn",1989,BEL,1:47.19,25.85,27.12,27.36,0
41,"AUBOECK, Felix",1996,AUT,1:47.24,25.91,27.09,27.31,0
42,"AGNEL, Yannick",1992,FRA,1:47.35,24.58,27.05,27.42,0
43,"STANLEY, Matthew D",1992,NZL,1:47.37,25.57,26.63,27.52,0
44,"KOSKI, Matias",1994,FIN,1:47.40,24.84,26.92,28.26,0
45,"GRABICH, Federico",1990,ARG,1:47.41,24.53,26.94,27.44,0
46,"D'ARRIGO, Andrea Mitchell",1995,ITA,1:47.46,25.34,27.22,27.05,0
47,"ELKAMESH, Marwan",1993,EGY,1:47.52,24.99,27.03,27.87,0
48,"DE LUCCA, Joao",1990,BRA,1:47.63,25.07,27.15,27.14,0
49,"SIM, Welson",1997,MAS,1:47.67,25.52,27.13,27.13,0
50,"DREESENS, Dion",1993,NED,1:47.76,25.64,27.10,27.49,0
51,"FILDEBRANDT, Christoph",1989,GER,1:47.81,25.33,26.76,27.94,0
