,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"MALYUTIN, Martin",1999,RUS,1:44.79,24.87,26.41,27.24,0
1,"SCOTT, Duncan W",1997,GBR,1:45.19,24.88,26.50,26.98,0
2,"DEAN, Thomas",2000,GBR,1:45.34,24.40,27.03,27.06,0
3,"RAPSYS, Danas",1995,LTU,1:45.72,24.97,27.26,27.43,0
4,"MILAK, Kristof",2000,HUN,1:45.74,23.96,27.07,27.55,0
5,"DJAKOVIC, Antonio",2002,SUI,1:46.10,24.60,26.80,27.47,0
6,"HANSON, Robin",2001,SWE,1:47.34,24.93,27.45,27.73,0
7,"STJEPANOVIC, Velimir",1993,SRB,1:47.66,24.94,27.56,27.75,0
8,"MALYUTIN, Martin",1999,RUS,1:45.60,25.12,27.05,27.19,0
9,"SCOTT, Duncan W",1997,GBR,1:46.15,25.01,26.85,27.16,0
10,"DEAN, Thomas",2000,GBR,1:46.17,25.05,27.33,27.32,0
11,"RAPSYS, Danas",1995,LTU,1:46.19,24.40,26.79,27.79,0
12,"DJAKOVIC, Antonio",2002,SUI,1:46.26,24.88,27.02,27.58,0
13,"HANSON, Robin",2001,SWE,1:46.50,24.73,27.03,27.74,0
14,"MILAK, Kristof",2000,HUN,1:46.77,25.34,27.09,27.96,0
15,"STJEPANOVIC, Velimir",1993,SRB,1:47.08,25.05,27.17,27.55,0
16,"BALLO, Stefano",1993,ITA,1:47.10,25.06,27.13,27.66,0
17,"LIESS, Nils",1996,SUI,1:47.16,24.79,26.87,27.31,0
18,"ZIRK, Kregor",1999,EST,1:47.16,25.08,26.98,27.54,0
19,"CASTRO VALLE, Cesar",1999,ESP,1:47.18,25.15,27.30,27.33,0
20,"POTHAIN, Jordan",1994,FRA,1:47.60,24.90,27.07,27.94,0
21,"MEGLI, Filippo",1997,ITA,1:47.74,25.37,27.29,27.92,0
22,"GIREV, Ivan",2000,RUS,1:47.95,25.31,27.21,27.70,0
23,"ATSU, Jonathan",1996,FRA,1:48.07,25.16,27.31,27.63,0
24,"MALYUTIN, Martin",1999,RUS,1:46.30,25.14,27.11,27.29,0
25,"RAPSYS, Danas",1995,LTU,1:46.85,25.00,27.18,27.81,0
26,"DEAN, Thomas",2000,GBR,1:46.88,24.32,26.86,27.81,0
27,"MILAK, Kristof",2000,HUN,1:47.27,25.36,27.35,27.60,0
28,"DJAKOVIC, Antonio",2002,SUI,1:47.28,25.15,27.13,28.04,0
29,"HANSON, Robin",2001,SWE,1:47.31,24.80,27.02,27.61,0
30,"MEGLI, Filippo",1997,ITA,1:47.35,25.03,26.77,27.57,0
31,"POTHAIN, Jordan",1994,FRA,1:47.44,24.74,27.18,27.76,0
32,"SCOTT, Duncan W",1997,GBR,1:47.45,25.25,26.94,27.67,0
33,"BALLO, Stefano",1993,ITA,1:47.66,25.36,27.47,27.74,0
34,"GIREV, Ivan",2000,RUS,1:47.69,25.32,27.27,27.62,0
35,"ZIRK, Kregor",1999,EST,1:47.78,25.30,27.48,27.59,0
36,"STJEPANOVIC, Velimir",1993,SRB,1:47.83,24.83,27.44,28.00,0
37,"ATSU, Jonathan",1996,FRA,1:47.84,25.48,27.55,27.64,0
38,"DE TULLIO, Marco",2000,ITA,1:48.05,25.22,27.33,27.73,0
39,"SHCHEGOLEV, Aleksandr",2002,RUS,1:48.12,25.26,27.13,27.92,0
40,"LIESS, Nils",1996,SUI,1:48.13,24.85,26.57,27.78,0
41,"KRASNYKH, Alexander",1995,RUS,1:48.32,25.27,27.24,27.97,0
42,"CASTRO VALLE, Cesar",1999,ESP,1:48.37,25.10,27.27,27.87,0
43,"POPOVICI, David",2004,ROU,1:48.38,25.04,28.31,27.93,0
44,"SANCOV, Alexei",1999,MDA,1:48.42,25.71,27.63,27.57,0
