,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
0,"POPOVICI, David",2004,ROU,1:45.95,24.53,26.97,27.57,0
1,"CHOWANIEC, Mateusz",2003,POL,1:47.78,25.16,27.63,27.87,0
2,"LEKIC, Jovan",2003,BIH,1:48.46,25.35,27.98,27.65,0
3,"SORGIUS, Timo",2003,GER,1:48.60,25.11,27.69,28.42,0
4,"DOMINGUEZ CALONGE, Luis",2003,ESP,1:49.03,24.79,27.77,28.85,0
5,"KOSENKOV, Daniil",2004,RUS,1:49.75,25.52,27.89,28.34,0
6,"FILIZ, Batuhan",2004,TUR,1:50.53,26.06,28.00,28.45,0
7,"OPPIOLI, Matteo",2003,ITA,1:50.71,25.61,28.55,28.81,0
8,"POPOVICI, David",2004,ROU,1:45.26,23.94,26.76,27.64,0
9,"SORGIUS, Timo",2003,GER,1:49.14,24.95,27.60,28.42,0
10,"LEKIC, Jovan",2003,BIH,1:49.40,25.67,28.21,28.47,0
11,"CHOWANIEC, Mateusz",2003,POL,1:49.87,25.01,27.41,28.39,0
12,"KOSENKOV, Daniil",2004,RUS,1:49.96,25.68,27.58,29.30,0
13,"FILIZ, Batuhan",2004,TUR,1:49.98,26.36,28.04,28.40,0
14,"DOMINGUEZ CALONGE, Luis",2003,ESP,1:50.18,25.41,27.80,29.02,0
15,"OPPIOLI, Matteo",2003,ITA,1:50.27,25.67,28.25,28.42,0
16,"KHADANOVICH, Maksim",2003,RUS,1:50.32,25.87,27.75,28.83,0
17,"MITSIN, Petar",2005,BUL,1:50.48,25.45,28.15,28.43,0
18,"ASLAN, Yigit",2003,TUR,1:50.53,26.09,28.24,28.97,0
19,"GALOSSI, Lorenzo",2006,ITA,1:51.32,25.79,28.32,28.85,0
20,"CHOBOTAR, Artem",2003,UKR,1:52.03,25.83,28.61,28.92,0
21,"HAIMI, Lassi",2003,FIN,1:52.27,26.97,27.91,28.47,0
22,"BAKER, Henry",2003,GBR,1:53.08,25.47,28.11,29.43,0
23,"MATUSZEWSKI, Krzysztof",2004,POL,1:53.16,26.07,29.11,29.00,0
24,"GALOSSI, Lorenzo",2006,ITA,1:49.27,25.37,27.88,28.03,0
25,"LEKIC, Jovan",2003,BIH,1:49.28,25.61,27.97,28.45,0
26,"POPOVICI, David",2004,ROU,1:50.01,24.39,28.08,28.48,0
