,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,Number_fourth_50m,Number_fifth_50m,Number_sixth_50m,Number_seventh_50m,gender
0,"GIRERD, Mathis",2005,FRA,4:35.37,29.05,33.86,35.59,35.96,35.80,36.23,35.83,0
1,"DEFOIS-PERNOT, Oscar",2008,FRA,4:37.96,30.96,34.73,35.33,35.86,35.30,35.89,35.43,0
2,"ROUX, Mael",2008,FRA,4:41.99,31.02,34.64,35.83,36.46,36.37,36.68,35.98,0
3,"PUYRAIMOND, Natan",2006,FRA,4:42.09,30.72,34.92,35.82,36.57,36.20,37.24,37.33,0
4,"LE BAIL, Tom",2007,FRA,4:42.76,31.58,34.77,35.85,35.89,36.27,36.37,37.17,0
5,"LAUREAU, Charly",2007,FRA,4:43.70,31.86,35.05,36.00,36.18,36.28,37.07,36.16,0
6,"LAFFAGE, Nicolas",2004,FRA,4:44.37,30.69,34.88,35.68,36.85,36.29,36.94,37.08,0
7,"COURAUD, Victor",2006,FRA,4:45.79,30.42,34.66,36.31,36.74,37.17,37.14,37.43,0
8,"BRUCKERT, Alois",2006,FRA,4:46.43,31.14,35.10,35.52,36.47,36.78,37.38,37.15,0
9,"PETREMENT, Thomas",2008,FRA,4:48.24,31.66,35.02,36.91,37.69,38.51,37.16,37.40,0
10,"BOUCHY, Noa",2007,FRA,4:48.50,33.77,35.84,37.41,36.72,37.03,36.97,37.00,0
11,"MOUHIB, Yahya",2002,MAR,4:48.69,31.75,36.43,36.72,37.52,36.46,38.61,35.73,0
12,"DA COSTA, Sacha",2007,FRA,4:52.14,32.58,35.66,36.94,37.44,37.76,38.23,36.81,0
13,"LIOTIER, Aaron",2008,FRA,4:53.19,33.07,37.77,38.05,37.32,36.31,38.20,38.09,0
14,"PERRIOT-COMTE, Nathan",2008,FRA,4:53.40,33.44,36.42,36.86,37.37,37.14,37.37,37.54,0
15,"HUBNER, Martin",2006,FRA,4:54.53,33.41,36.26,37.64,37.20,37.74,37.57,38.10,0
16,"RAVINET, Yann",2004,FRA,4:54.96,32.65,35.84,37.15,38.36,37.88,38.20,37.98,0
17,"CHAMPMARTIN, Youri",2008,FRA,4:55.13,33.90,37.37,37.35,37.57,38.07,37.81,37.69,0
18,"BELKENTAOUI, Elyas",2005,FRA,4:55.26,31.85,34.82,37.80,38.57,38.61,38.69,38.93,0
19,"GARNIER, Mathis",2008,FRA,4:57.01,33.42,37.00,38.58,37.79,38.53,38.17,37.49,0
20,"DEFONTAINE, Malo",2006,FRA,5:01.14,32.38,36.35,37.08,38.61,38.52,41.12,40.35,0
21,"MEFTAH SAOUES--POULOT, Loris",2008,FRA,5:01.31,32.00,34.96,37.39,39.12,40.72,40.49,38.98,0
22,"GIRERD, Hugo",2008,FRA,5:01.53,32.29,37.02,38.58,39.16,39.03,39.90,38.20,0
23,"BEAUJON, Cyril",2008,FRA,5:01.87,33.32,36.59,38.42,38.27,40.07,38.77,39.39,0
24,"SERIN, Timothee",2007,FRA,5:02.96,33.20,37.53,38.38,39.09,38.73,39.55,38.69,0
25,"SOUMAHORO, Inza",2008,FRA,5:03.93,31.83,36.87,38.51,39.18,39.84,39.16,39.89,0
26,"VAUTRIN, Lilian",2007,FRA,5:05.13,32.21,36.46,37.88,39.10,40.30,39.66,40.58,0
27,"COLSON, Celio",2007,FRA,5:11.46,33.95,38.13,40.40,39.90,39.77,40.86,40.28,0
28,"OUDOT, Albert",2007,FRA,5:11.73,32.14,37.20,39.02,40.34,40.81,41.37,41.39,0
29,"MASSOTTE, Louis",2007,FRA,5:13.02,34.22,39.68,39.44,40.03,39.48,38.87,40.85,0
30,"CINI, Theo",2009,FRA,5:16.70,33.75,38.66,39.74,41.35,41.04,41.89,41.07,0
31,"BARON, Jean-Mathis",2008,FRA,5:19.39,35.87,39.10,41.20,41.03,41.32,40.18,41.06,0
32,"BENSAFIA, Naell",2008,FRA,5:24.24,34.37,38.12,40.71,41.42,42.62,42.23,43.05,0
33,"GREMEAUX, Gaspard",2009,FRA,5:41.73,38.08,43.72,44.64,43.88,44.20,42.77,42.98,0
34,"VERVIER, Nathan",2009,FRA,5:41.97,37.52,43.27,43.62,43.51,43.67,43.33,43.72,0
35,"ROGGIA, Jessy",2009,FRA,5:44.75,37.72,42.44,44.09,44.50,44.72,45.83,46.50,0
36,"GUENNOC-JUDAS, Ewen",2009,FRA,5:59.14,39.14,44.33,45.71,46.58,45.92,46.97,46.18,0
37,"POSTAL, Adrien",2004,FRA,4:23.92,29.23,32.72,33.25,33.65,33.75,34.38,34.02,0
38,"JOLY, Mathieu",2005,FRA,4:27.54,29.55,32.64,33.65,34.39,34.52,35.38,33.97,0
39,"BRENOT, Victor",2005,FRA,4:28.25,29.60,32.79,33.70,34.53,34.53,35.25,34.56,0
40,"LOPEZ, Thibaut",2007,FRA,4:30.89,30.23,33.79,34.41,35.12,34.61,35.11,34.03,0
41,"CUENIN, Lucas",2004,FRA,4:32.49,28.99,33.04,33.59,36.11,35.95,36.56,36.09,0
42,"CHAUVIN, Titouan",2003,FRA,4:32.98,29.29,32.92,33.85,35.22,35.16,36.00,35.77,0
43,"POSTAL, Pierre",2004,FRA,4:38.04,30.34,33.95,35.29,35.25,36.06,36.20,36.94,0
44,"OUDOT, Charles",2005,FRA,4:38.27,31.29,34.15,35.47,35.59,36.11,35.96,36.06,0
45,"GILLET, Dorian",2005,FRA,4:47.25,32.39,35.72,36.28,36.47,36.46,36.34,36.50,0
46,"SERIN, Timothee",2007,FRA,4:59.55,33.93,36.55,37.86,37.84,38.62,37.97,38.52,0
47,"BAYRAT, Ethan",2006,FRA,5:01.27,33.16,37.63,37.77,38.64,38.55,38.88,38.12,0
48,"RABIAN--MACHIN, Swan",2007,FRA,5:37.69,34.28,40.29,43.51,42.99,44.52,43.86,44.95,0
49,"GUENNOC-JUDAS, Ewen",2009,FRA,5:56.37,39.03,43.92,44.92,45.19,45.81,45.67,45.81,0
50,"GILLET, Dorian",2005,FRA,4:49.34,32.31,35.94,36.33,36.70,37.42,36.23,37.36,0
51,"MAILLOT, Nicolas",2005,FRA,4:59.95,33.43,36.78,37.76,38.16,38.46,38.11,38.88,0
52,"GAUTHIER, Jeanne-Lise",2008,FRA,4:54.32,32.93,36.98,37.52,37.93,37.44,37.94,38.44,1
