,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,Number_fourth_50m,Number_fifth_50m,Number_sixth_50m,Number_seventh_50m,gender
0,"MALYUTIN, Martin",1999,RUS,3:44.18,26.67,28.98,28.53,28.67,28.77,28.44,27.52,0
1,"AUBOECK, Felix",1996,AUT,3:44.63,26.70,28.47,28.46,28.70,28.52,28.76,28.28,0
2,"RAPSYS, Danas",1995,LTU,3:45.39,25.50,28.52,28.97,29.45,29.29,28.91,28.34,0
3,"DETTI, Gabriele",1994,ITA,3:46.07,26.34,28.36,28.64,29.31,29.27,28.96,28.26,0
4,"DE TULLIO, Marco",2000,ITA,3:46.36,26.12,28.42,28.74,29.22,29.18,29.12,28.29,0
5,"DJAKOVIC, Antonio",2002,SUI,3:46.54,26.36,28.29,28.88,29.34,29.11,29.06,28.62,0
6,"CHRISTIANSEN, Henrik",1996,NOR,3:46.87,26.65,28.95,28.74,28.88,28.85,28.55,28.65,0
7,"ZIRK, Kregor",1999,EST,3:48.35,26.60,29.18,29.29,28.97,29.02,28.83,28.68,0
8,"DJAKOVIC, Antonio",2002,SUI,3:47.23,25.68,28.39,29.03,29.41,29.01,29.05,28.84,0
9,"CHRISTIANSEN, Henrik",1996,NOR,3:47.51,26.48,28.56,28.92,28.94,28.96,28.83,28.89,0
10,"DETTI, Gabriele",1994,ITA,3:47.56,26.38,28.41,28.68,28.91,28.79,29.03,28.96,0
11,"AUBOECK, Felix",1996,AUT,3:47.61,26.60,28.47,28.46,28.68,28.76,28.94,29.12,0
12,"DE TULLIO, Marco",2000,ITA,3:47.81,25.61,27.81,28.63,29.60,29.54,29.16,28.84,0
13,"MALYUTIN, Martin",1999,RUS,3:47.95,26.07,28.49,28.83,28.61,29.55,29.14,29.40,0
14,"RAPSYS, Danas",1995,LTU,3:48.05,25.20,27.90,28.40,29.04,29.33,29.67,30.21,0
15,"ZIRK, Kregor",1999,EST,3:48.39,26.45,29.11,29.60,29.50,29.01,28.88,28.42,0
16,"LITCHFIELD, Max",1995,GBR,3:48.41,26.60,29.09,29.26,29.77,28.85,28.48,28.18,0
17,"CIAMPI, Matteo",1996,ITA,3:48.57,26.57,29.00,29.02,29.01,28.75,29.07,29.05,0
18,"ENGLEZAKIS, Konstantinos",2001,GRE,3:48.59,25.99,28.66,28.71,29.75,28.97,29.51,28.70,0
19,"ZOMBORI, Gabor",2002,HUN,3:48.88,25.81,28.45,29.16,29.33,29.53,29.35,28.93,0
