,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,Number_fourth_50m,Number_fifth_50m,Number_sixth_50m,Number_seventh_50m,gender
0,"FILIZ, Batuhan",2004,TUR,3:50.68,27.31,29.18,29.48,29.60,29.53,29.34,29.07,0
1,"LEKIC, Jovan",2003,BIH,3:50.79,26.43,29.53,29.58,29.78,29.77,29.67,28.15,0
2,"KOUTNY, David",2003,CZE,3:51.06,26.79,29.25,29.02,29.75,28.93,29.44,29.17,0
3,"JOENTVEDT, Jon",2003,NOR,3:51.54,26.69,29.01,29.41,29.79,29.31,29.91,29.18,0
4,"PERCINIC, Karlo",2004,CRO,3:52.41,27.33,29.60,29.74,29.74,29.29,29.42,29.07,0
5,"STANCU, Vlad",2005,ROU,3:53.09,27.17,29.47,29.57,29.60,29.34,29.83,29.48,0
6,"ASLAN, Yigit",2003,TUR,3:53.62,26.92,29.03,29.49,29.67,29.78,29.91,29.50,0
7,"WINKLER, Kiran",2004,GER,3:55.37,26.80,29.09,29.89,29.90,29.76,30.29,29.90,0
8,"FILIZ, Batuhan",2004,TUR,3:51.60,27.29,29.05,29.49,29.67,29.29,29.48,29.20,0
9,"LEKIC, Jovan",2003,BIH,3:51.63,26.33,29.68,29.91,29.84,29.50,29.61,29.30,0
10,"ASLAN, Yigit",2003,TUR,3:52.29,26.79,29.20,29.69,29.86,29.82,29.65,29.58,0
11,"JOENTVEDT, Jon",2003,NOR,3:52.52,26.55,28.37,28.93,29.05,29.27,29.78,30.23,0
12,"STANCU, Vlad",2005,ROU,3:53.21,27.07,29.34,29.65,30.11,29.22,29.79,29.76,0
13,"PERCINIC, Karlo",2004,CRO,3:53.41,27.68,29.40,29.28,29.40,29.12,29.71,29.96,0
14,"KOUTNY, David",2003,CZE,3:54.33,26.61,29.61,29.69,30.10,29.39,29.88,29.54,0
15,"WINKLER, Kiran",2004,GER,3:54.34,27.18,29.05,29.55,29.86,29.33,30.02,29.90,0
16,"CHMIELEWSKI, Krzysztof",2004,POL,3:54.83,27.00,29.33,29.58,29.75,29.50,29.87,30.03,0
17,"KACHRIS, Alexandros",2003,GRE,3:55.02,26.94,29.53,29.87,30.04,29.66,29.82,29.78,0
18,"GALOSSI, Lorenzo",2006,ITA,3:55.20,27.14,29.13,29.74,29.91,29.92,30.04,30.15,0
19,"SARKANY, Zalan",2003,HUN,3:55.78,26.91,29.15,29.84,30.02,30.30,30.20,30.49,0
20,"BETH, Silas",2003,GER,3:56.17,26.94,29.28,29.83,30.30,29.99,30.44,30.32,0
21,"AHDUT, Yonatan",2003,ISR,3:57.00,27.89,29.59,29.97,30.52,29.84,30.16,30.04,0
22,"DASZKIEWICZ, Michal",2003,POL,3:57.15,27.62,29.68,30.05,30.23,29.94,30.05,29.95,0
23,"DEIGHAN, Joseph",2003,GBR,3:57.98,27.57,29.41,29.43,30.30,30.06,30.65,30.76,0
24,"KOSENKOV, Daniil",2004,RUS,3:58.07,26.97,29.30,30.44,29.91,30.87,30.08,31.03,0
25,"ZACHARIADIS, Konstantinos",2004,GRE,3:58.57,27.57,29.39,30.13,30.43,30.38,30.40,30.74,0
26,"WALTER, Jakub",2004,POL,3:58.57,26.97,30.01,30.38,30.59,30.51,30.77,30.33,0
27,"MESZAROS, Daniel",2004,HUN,3:59.80,26.68,29.70,29.94,30.29,30.38,30.73,31.30,0
28,"ALOVATKI, Pavel",2003,MDA,3:59.96,27.34,30.49,30.65,31.14,30.15,30.82,29.87,0
29,"CSICSAKY, Peter",2003,HUN,4:00.10,27.46,29.96,30.29,30.77,30.50,31.11,30.52,0
30,"MOLDON, Ilya",2004,RUS,4:00.22,26.74,30.92,30.80,31.17,30.45,30.79,29.93,0
31,"LINDHOLM, Frederik",2004,DEN,4:00.65,27.47,29.37,30.13,30.66,30.67,31.27,30.86,0
32,"BANJAC, Danilo",2004,SRB,4:00.95,27.62,30.03,30.19,30.61,30.43,31.21,30.33,0
33,"NIEDERBERGER, Paul",2004,SUI,4:01.03,26.93,30.18,30.65,31.11,30.92,30.86,31.04,0
34,"RIBEIRO, Gustavo Carvalhais",2003,POR,4:01.39,27.62,29.55,30.06,31.04,30.73,30.95,31.00,0
35,"HAIMI, Lassi",2003,FIN,4:01.49,27.43,29.46,30.12,30.73,30.79,30.71,31.30,0
36,"LANYI, Filip",2003,SVK,4:01.92,26.98,29.78,30.18,30.59,30.56,30.90,31.59,0
37,"CIGIC, Filip",2003,CRO,4:02.19,27.80,30.34,31.00,30.66,30.95,30.52,30.96,0
38,"POLIACIK, Jakub",2004,SVK,4:02.31,27.13,30.13,30.80,30.88,30.81,31.33,30.71,0
39,"PEREZ MANAS, Adrian",2003,ESP,4:02.35,27.69,29.70,29.64,30.18,30.21,31.56,32.21,0
40,"CHIKNAIKIN, Aleksandr",2003,RUS,4:02.45,27.28,29.45,30.51,30.38,30.71,31.13,31.51,0
41,"YILDIRIM, Umut",2004,TUR,4:04.18,28.54,30.17,30.72,30.75,30.71,30.89,31.44,0
42,"TUMANOFF, Lari",2003,FIN,4:04.29,27.61,30.55,31.20,31.46,31.11,32.02,31.04,0
43,"KOVACS, Attila",2004,HUN,4:04.60,27.84,30.62,30.91,30.94,31.19,31.46,31.63,0
44,"PUSNIK, Jaka",2003,SLO,4:05.86,27.19,29.86,30.84,31.54,30.89,31.26,32.15,0
45,"DIKACZ, Bence",2004,SVK,4:05.97,28.18,30.45,30.86,31.52,31.09,31.90,31.14,0
46,"KANTSER, Yahor",2003,BLR,4:06.98,27.55,30.50,30.74,31.73,31.10,31.98,32.08,0
47,"WOODS, Thomas Gabriel",2004,MLT,4:14.67,28.13,31.16,31.86,32.28,32.55,32.60,33.05,0
48,"KILAVUZ, Mert",2003,TUR,3:56.54,27.52,29.63,30.12,29.92,29.94,29.89,29.83,0
