,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,Number_fourth_50m,Number_fifth_50m,Number_sixth_50m,Number_seventh_50m,gender
0,"HORTON, Mack",1996,AUS,3:41.55,26.05,28.01,28.74,28.39,28.55,28.27,27.39,0
1,"SUN, Yang",1991,CHN,3:41.68,26.49,28.03,28.50,28.65,28.19,28.20,27.48,0
2,"DETTI, Gabriele",1994,ITA,3:43.49,26.27,28.40,28.46,28.71,28.34,28.64,28.01,0
3,"DWYER, Conor",1989,USA,3:44.01,25.79,28.14,28.49,28.75,28.45,28.47,28.13,0
4,"JAEGER, Connor L",1991,USA,3:44.16,25.96,28.27,28.48,28.84,28.32,28.41,28.17,0
5,"GUY, James",1995,GBR,3:44.68,25.87,27.83,28.29,28.24,28.80,28.76,28.96,0
6,"MCKEON, David",1992,AUS,3:45.28,25.67,28.47,28.47,28.99,28.52,28.80,28.33,0
7,"POTHAIN, Jordan",1994,FRA,3:49.07,26.20,27.70,28.84,28.66,29.69,29.27,29.79,0
8,"DWYER, Conor",1989,USA,3:43.42,25.64,28.31,28.25,28.61,28.33,28.25,28.01,0
9,"HORTON, Mack",1996,AUS,3:43.84,25.82,28.00,28.36,28.67,28.10,28.79,28.54,0
10,"DETTI, Gabriele",1994,ITA,3:43.95,26.00,28.02,28.39,28.63,28.38,28.35,28.34,0
11,"SUN, Yang",1991,CHN,3:44.23,26.31,28.27,28.29,28.52,28.93,28.79,28.01,0
12,"MCKEON, David",1992,AUS,3:44.68,25.77,28.00,28.47,28.44,28.76,28.67,28.86,0
13,"GUY, James",1995,GBR,3:45.31,25.84,27.74,28.47,28.73,28.67,28.70,28.93,0
14,"JAEGER, Connor L",1991,USA,3:45.37,26.38,28.34,28.41,28.58,28.56,28.89,28.43,0
15,"POTHAIN, Jordan",1994,FRA,3:45.43,25.98,27.88,28.27,28.31,28.68,28.29,28.98,0
16,"VOGEL, Florian",1994,GER,3:45.49,26.39,28.61,28.57,28.86,28.43,28.57,28.02,0
17,"PARK, Tae-Hwan",1989,KOR,3:45.63,26.13,28.61,28.55,28.81,28.43,29.02,28.58,0
