,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,Number_fourth_50m,Number_fifth_50m,Number_sixth_50m,Number_seventh_50m,gender
0,"HAFNAOUI, Ayoub",2002,TUN,3:43.36,25.89,27.96,28.25,28.55,28.50,28.56,28.42,0
1,"MCLOUGHLIN, Jack",1995,AUS,3:43.52,25.89,27.98,28.30,28.28,28.28,28.63,28.46,0
2,"SMITH, Kieran S",2000,USA,3:43.94,25.50,28.13,28.51,28.78,28.73,28.66,28.50,0
3,"MUEHLLEITNER, Henning",1997,GER,3:44.07,26.79,28.12,28.36,28.59,28.11,28.75,28.29,0
4,"AUBOECK, Felix",1996,AUT,3:44.07,26.58,28.40,28.40,28.49,28.11,28.47,28.12,0
5,"DETTI, Gabriele",1994,ITA,3:44.88,26.66,28.39,28.53,28.66,28.53,28.59,28.07,0
6,"WINNINGTON, Elijah",2000,AUS,3:45.20,25.41,28.14,28.51,28.73,28.99,28.88,28.51,0
7,"MITCHELL, Jake",2001,USA,3:45.39,25.76,28.25,28.60,29.10,28.85,28.66,28.43,0
8,"MUEHLLEITNER, Henning",1997,GER,3:43.67,26.71,28.15,28.43,28.73,27.83,28.23,28.04,0
9,"AUBOECK, Felix",1996,AUT,3:43.91,26.30,28.21,28.37,28.50,28.60,28.52,28.15,0
10,"DETTI, Gabriele",1994,ITA,3:44.67,26.30,28.00,28.31,28.65,28.51,28.61,28.42,0
11,"WINNINGTON, Elijah",2000,AUS,3:45.20,25.63,28.23,28.73,28.74,28.65,28.92,28.19,0
12,"MCLOUGHLIN, Jack",1995,AUS,3:45.20,25.93,28.19,28.60,28.84,28.66,28.86,28.51,0
13,"SMITH, Kieran S",2000,USA,3:45.25,25.82,28.16,28.59,28.92,28.63,28.80,28.69,0
14,"MITCHELL, Jake",2001,USA,3:45.38,26.00,28.47,28.53,28.98,28.61,28.51,28.34,0
15,"HAFNAOUI, Ayoub",2002,TUN,3:45.68,26.36,27.90,28.53,28.90,28.96,28.66,29.16,0
16,"DJAKOVIC, Antonio",2002,SUI,3:45.82,25.58,27.96,28.55,28.72,28.50,28.51,29.26,0
17,"DE TULLIO, Marco",2000,ITA,3:45.85,25.96,28.31,28.56,29.12,28.65,28.66,28.43,0
18,"COSTA, Guilherme",1998,BRA,3:45.99,26.13,28.10,28.74,29.09,29.09,28.64,28.77,0
19,"MARTENS, Lukas",2001,GER,3:46.30,25.90,28.02,28.75,29.07,28.64,28.66,28.55,0
20,"RAPSYS, Danas",1995,LTU,3:46.32,25.28,28.15,28.48,28.65,29.17,29.41,29.03,0
21,"ELKAMESH, Marwan",1993,EGY,3:46.94,26.53,28.12,28.91,28.71,28.70,28.71,28.76,0
22,"ZIRK, Kregor",1999,EST,3:47.05,26.49,28.53,29.08,28.92,29.11,28.73,28.82,0
23,"MESTRE, Alfonso E",2001,VEN,3:47.14,25.92,28.32,28.92,28.95,28.64,29.14,29.35,0
24,"EGOROV, Aleksandr",2001,RUS,3:47.71,26.52,28.38,28.55,28.55,28.81,28.87,29.28,0
25,"ZOMBORI, Gabor",2002,HUN,3:47.99,25.78,28.83,29.14,29.22,29.23,29.15,28.85,0
