,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"EGOROVA, Polina",2000,RUS,59.22,27.96
1,"KOEHLER, Angelina",2000,GER,59.44,27.65
2,"SHKURDAI, Anastasiya",2003,BLR,59.76,27.45
3,"LIN, Xintong",2000,CHN,1:00.35,27.53
4,"JUNEVIK, Sara",2000,SWE,1:00.41,27.98
5,"GUEVARA HERNANDEZ, Miriam Carolina",2000,MEX,1:00.90,28.36
6,"KAN, Cheuk Tung Natalie",2002,HKG,1:01.21,28.25
7,"OZKAN, Aleyna",2002,TUR,1:01.47,28.45
8,"SHKURDAI, Anastasiya",2003,BLR,59.72,27.57
9,"KOEHLER, Angelina",2000,GER,59.78,27.81
10,"EGOROVA, Polina",2000,RUS,1:00.14,28.15
11,"LIN, Xintong",2000,CHN,1:00.21,27.92
12,"GUEVARA HERNANDEZ, Miriam Carolina",2000,MEX,1:00.36,28.37
13,"OZKAN, Aleyna",2002,TUR,1:00.77,28.23
14,"JUNEVIK, Sara",2000,SWE,1:00.85,28.05
15,"KAN, Cheuk Tung Natalie",2002,HKG,1:01.05,28.89
16,"STADNIK, Yuliua",2000,UKR,1:01.19,28.32
17,"RYAN, Michaela",2002,AUS,1:01.20,28.22
18,"COETZEE, Dune",2002,RSA,1:01.29,28.37
19,"PESSANHA, Maria Luiza",2000,BRA,1:01.46,29.11
20,"BAROCSAI, Petra",2001,HUN,1:01.95,28.79
21,"PADRON SALAZAR, Maria Beatriz",2003,CRC,1:01.99,29.44
22,"LAHTINEN, Laura",2003,FIN,1:02.00,28.41
23,"STEMBEROVA, Kristyna",2000,CZE,1:02.27,28.64
24,"KOEHLER, Angelina",2000,GER,59.99,28.15
25,"EGOROVA, Polina",2000,RUS,1:00.23,28.10
26,"SHKURDAI, Anastasiya",2003,BLR,1:00.48,27.90
27,"STADNIK, Yuliua",2000,UKR,1:01.01,28.36
28,"KAN, Cheuk Tung Natalie",2002,HKG,1:01.06,28.70
29,"LIN, Xintong",2000,CHN,1:01.19,28.10
30,"RYAN, Michaela",2002,AUS,1:01.30,28.54
31,"OZKAN, Aleyna",2002,TUR,1:01.41,28.54
32,"JUNEVIK, Sara",2000,SWE,1:01.50,28.12
33,"GUEVARA HERNANDEZ, Miriam Carolina",2000,MEX,1:01.54,28.47
34,"BAROCSAI, Petra",2001,HUN,1:01.83,29.48
35,"COETZEE, Dune",2002,RSA,1:01.92,29.36
36,"PADRON SALAZAR, Maria Beatriz",2003,CRC,1:02.07,28.78
37,"PESSANHA, Maria Luiza",2000,BRA,1:02.11,28.62
38,"LAHTINEN, Laura",2003,FIN,1:02.15,29.03
39,"STEMBEROVA, Kristyna",2000,CZE,1:02.20,28.89
40,"LYON, Lismar",2000,VEN,1:02.30,28.20
41,"BERECZ, Blanka",2002,HUN,1:02.43,29.28
42,"BECERRA, Valentina",2001,COL,1:02.45,28.72
43,"POLONSKY, Lea",2002,ISR,1:02.56,29.25
44,"MROZINSKI, Julia",2000,GER,1:02.56,28.32
45,"GALLOWAY, Gina M",2001,NZL,1:02.85,29.49
46,"LARASATI, Adinda",2000,INA,1:03.02,29.36
47,"CHEN, Yu-Rong",2000,TPE,1:03.21,29.08
48,"MARIN, Ines",2001,CHI,1:03.37,29.57
49,"DELGADO, Anicka R",2002,ECU,1:03.47,29.44
50,"SCHEGOLEVA, Alexandra",2001,CYP,1:03.55,28.68
51,"POTOCKA, Tamara",2002,SVK,1:04.80,30.16
52,"HEFEL, Theresa",2001,LIE,1:06.81,29.80
