,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"LISOVETS', Volodymyr",2004,UKR,1:00.28,28.31
1,"SAVICKAS, Aleksas",2003,LTU,1:01.29,28.67
2,"CERASUOLO, Simone",2003,ITA,1:01.56,28.26
3,"MLADENOVIC, Luka",2004,AUT,1:01.63,28.50
4,"SKORA, Bartosz",2003,POL,1:01.91,28.36
5,"OVCHINNIKOV, Maksym",2003,UKR,1:02.19,29.13
6,"KROES, Ivo",2003,NED,1:02.37,29.49
7,"KOHLSCHMID, Manuel",2003,GER,1:02.59,28.60
8,"CERASUOLO, Simone",2003,ITA,1:00.89,28.22
9,"LISOVETS', Volodymyr",2004,UKR,1:01.05,28.91
10,"SAVICKAS, Aleksas",2003,LTU,1:01.41,28.57
11,"MLADENOVIC, Luka",2004,AUT,1:01.55,28.54
12,"OVCHINNIKOV, Maksym",2003,UKR,1:01.90,29.12
13,"KOHLSCHMID, Manuel",2003,GER,1:02.18,28.40
14,"KROES, Ivo",2003,NED,1:02.18,28.78
15,"SKORA, Bartosz",2003,POL,1:02.27,28.97
16,"ZIVANOVIC, Uros",2005,SRB,1:02.56,29.06
17,"VAVRIN, Simon",2004,CZE,1:02.66,29.19
18,"FITZPATRICK, Brendan",2003,FRA,1:02.70,29.68
19,"GLAZUNOV, Georgii",2004,RUS,1:02.97,29.78
20,"RIZZARDI, Federico",2004,ITA,1:03.09,30.19
21,"FREEMAN, Harvey",2004,GBR,1:03.20,29.76
22,"FERESHTIAN, Nick",2003,BLR,1:03.40,29.30
23,"KARA, Kaan",2004,TUR,1:04.03,30.13
24,"CERASUOLO, Simone",2003,ITA,1:00.78,28.28
25,"SAVICKAS, Aleksas",2003,LTU,1:01.52,28.90
26,"LISOVETS', Volodymyr",2004,UKR,1:01.72,29.16
27,"OVCHINNIKOV, Maksym",2003,UKR,1:02.20,29.30
28,"MLADENOVIC, Luka",2004,AUT,1:02.21,29.02
29,"KROES, Ivo",2003,NED,1:02.24,29.33
30,"FITZPATRICK, Brendan",2003,FRA,1:02.35,29.12
31,"KRYZHANIVS'KYY, Rostyslav",2004,UKR,1:02.55,29.15
32,"ZIVANOVIC, Uros",2005,SRB,1:02.84,29.35
33,"FERESHTIAN, Nick",2003,BLR,1:02.99,28.98
