,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"SUN, Jiajun",2000,CHN,1:00.59,27.72
1,"PETRASHOV, Denis",2000,KGZ,1:01.34,29.04
2,"TANIGUCHI, Taku",2001,JPN,1:01.40,29.20
3,"HANAGURUMA, Yu",2000,JPN,1:01.62,28.86
4,"HOULIE, Michael J",2000,RSA,1:01.70,27.43
5,"CORBEAU, Caspar",2001,NED,1:01.81,28.51
6,"GERASIMENKO, Vladislav",2001,RUS,1:02.43,28.50
7,"KALUSOWSKI, Jan",2000,POL,1:02.69,29.27
8,"HOULIE, Michael J",2000,RSA,1:00.23,27.44
9,"SUN, Jiajun",2000,CHN,1:00.61,28.18
10,"PETRASHOV, Denis",2000,KGZ,1:01.95,28.58
11,"HANAGURUMA, Yu",2000,JPN,1:01.99,29.57
12,"TANIGUCHI, Taku",2001,JPN,1:02.08,29.23
13,"GERASIMENKO, Vladislav",2001,RUS,1:02.15,29.36
14,"KALUSOWSKI, Jan",2000,POL,1:02.23,29.03
15,"CORBEAU, Caspar",2001,NED,1:02.29,28.95
16,"PHAM, Thanh Bao",2001,VIE,1:02.52,30.25
17,"PINHEIRO DE SOUZA, Vitor",2001,BRA,1:02.69,29.75
18,"DIJKSTRA, Juri",2000,NED,1:03.10,28.97
19,"BOEHM, Sebestyen",2001,HUN,1:03.23,29.32
20,"BALAMANE, Moncef",2001,ALG,1:03.35,29.20
21,"GRINDHEIM, Andre Klippenberg",2000,NOR,1:03.65,29.42
22,"SAINT-UPERY, Santiago",2000,URU,1:03.84,29.83
23,"DEMIR, Demirkan",2001,TUR,1:04.05,30.40
24,"HOULIE, Michael J",2000,RSA,1:01.37,27.51
25,"SUN, Jiajun",2000,CHN,1:01.43,28.56
26,"TANIGUCHI, Taku",2001,JPN,1:01.68,28.86
27,"HANAGURUMA, Yu",2000,JPN,1:02.22,29.73
28,"GERASIMENKO, Vladislav",2001,RUS,1:02.46,29.07
29,"KALUSOWSKI, Jan",2000,POL,1:02.63,29.33
30,"CORBEAU, Caspar",2001,NED,1:02.74,29.73
31,"PETRASHOV, Denis",2000,KGZ,1:02.82,29.45
32,"PHAM, Thanh Bao",2001,VIE,1:02.99,30.01
33,"PINHEIRO DE SOUZA, Vitor",2001,BRA,1:03.18,29.81
34,"BOEHM, Sebestyen",2001,HUN,1:03.21,29.44
35,"DIJKSTRA, Juri",2000,NED,1:03.53,29.66
36,"SAINT-UPERY, Santiago",2000,URU,1:03.55,29.26
37,"DEMIR, Demirkan",2001,TUR,1:03.68,29.55
38,"BALAMANE, Moncef",2001,ALG,1:03.72,30.07
39,"GRINDHEIM, Andre Klippenberg",2000,NOR,1:03.80,29.67
40,"MILANOVICH, Alexander",2002,CAN,1:03.88,28.64
41,"SILINS, Janis Vitauts",2000,LAT,1:04.06,29.91
42,"ANG, Wei Maximillian",2001,SGP,1:04.24,30.01
43,"SIDORCHUK, Aleksey",2002,UZB,1:04.31,29.92
44,"MOK, Kai Tik Marcus",2001,HKG,1:04.46,30.47
45,"PUENTE BUSTAMANTE, Andres Eduardo",2001,MEX,1:04.69,29.51
46,"DANG, Ethan V",2002,USA,1:04.72,30.22
47,"GAJDOS, David",2000,SVK,1:04.87,30.80
48,"RUDAVS, Didzis",2001,LAT,1:04.95,30.94
49,"MOZE, Matija",2000,SLO,1:04.96,30.65
50,"BASTIAN, Izaak Z",2001,BAH,1:05.21,30.17
51,"WEEKES, Luis Sebastian",2000,BAR,1:06.27,30.81
52,"SOLIS ROSALES, Jose David",2001,CRC,1:06.32,30.99
53,"ROSSI, Samuele",2001,SEY,1:07.28,30.63
