,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"MINAKOV, Andrei",2002,RUS,49.23,23.53
1,"KRASKA, Jakub",2000,POL,49.26,23.83
2,"HANSON, Robin",2001,SWE,49.52,24.13
3,"CALVELO DE SOUZA, Andrelui",2000,BRA,49.86,23.75
4,"LEE, Yooyeon",2000,KOR,50.10,24.06
5,"MIROSLAW, Rafael",2001,GER,50.13,23.82
6,"HONG, Jinquan",2003,CHN,50.35,24.11
7,"PEIXOTO, Lucas",2000,BRA,50.43,24.57
8,"KRASKA, Jakub",2000,POL,49.70,24.10
9,"CALVELO DE SOUZA, Andrelui",2000,BRA,49.87,24.22
10,"LEE, Yooyeon",2000,KOR,50.07,24.16
11,"MINAKOV, Andrei",2002,RUS,50.16,23.83
12,"HANSON, Robin",2001,SWE,50.17,23.69
13,"MIROSLAW, Rafael",2001,GER,50.28,24.35
14,"MILAK, Kristof",2000,HUN,50.36,24.24
15,"PEIXOTO, Lucas",2000,BRA,50.53,24.09
16,"HONG, Jinquan",2003,CHN,50.71,24.34
17,"DJAKOVIC, Antonio",2002,SUI,50.73,24.58
18,"POWELL, Robert",2000,IRL,50.76,25.09
19,"BRINKWORTH, Ashton",2000,AUS,50.77,24.80
20,"LOKTEV, Denis",2000,ISR,50.81,24.69
21,"CRUZ ZUNIGA, Guillermo",2000,MEX,50.84,24.25
22,"PICKETT, Michael",2002,NZL,50.86,24.80
23,"BARSEGHYAN, Artur",2002,ARM,51.14,24.64
24,"LEE, Yooyeon",2000,KOR,50.11,24.26
25,"KRASKA, Jakub",2000,POL,50.17,24.17
26,"MILAK, Kristof",2000,HUN,50.18,24.08
27,"MINAKOV, Andrei",2002,RUS,50.20,25.13
28,"CALVELO DE SOUZA, Andrelui",2000,BRA,50.24,24.36
29,"MIROSLAW, Rafael",2001,GER,50.54,23.66
30,"MARKOV, Daniil",2000,RUS,50.60,24.05
31,"PEIXOTO, Lucas",2000,BRA,50.70,24.19
32,"HONG, Jinquan",2003,CHN,50.81,24.52
33,"PICKETT, Michael",2002,NZL,50.89,23.99
34,"LOKTEV, Denis",2000,ISR,50.91,24.72
35,"HANSON, Robin",2001,SWE,50.99,24.59
36,"DJAKOVIC, Antonio",2002,SUI,51.04,24.52
37,"BRINKWORTH, Ashton",2000,AUS,51.05,24.57
38,"POWELL, Robert",2000,IRL,51.19,24.86
39,"CRUZ ZUNIGA, Guillermo",2000,MEX,51.23,24.75
40,"BARSEGHYAN, Artur",2002,ARM,51.33,24.63
41,"CECCON, Thomas",2001,ITA,51.42,24.92
42,"GHAFFARI, Mohamed",2000,TUN,51.55,24.60
43,"BEDOUR, Mohammed",2000,JOR,51.56,24.67
44,"LIENDO, Joshua",2002,CAN,51.60,24.98
45,"DELICES, Jean-Marc",2000,FRA,51.62,24.90
46,"BABIC S., Dusan",2000,SRB,51.71,24.80
47,"JACKSON, Joseph",2000,AUS,51.87,24.80
48,"TURAN, Efe",2000,TUR,51.94,24.99
49,"SEELIGER, Bjoern",2000,SWE,51.99,24.60
50,"NORTJE, Gawie",2001,RSA,51.99,24.82
51,"YAVARI FOROUSHANI, Alireza",2000,IRI,52.08,25.05
52,"LEGBAND, Kai E",2000,BER,52.21,24.89
53,"KIRBY, Jack",2000,BAR,52.29,25.19
54,"SHATSKOV, Kirill",2000,KAZ,52.43,25.28
55,"RATIU, George",2000,ROU,52.61,24.74
56,"UMUROV, Akhmadjon",2000,UZB,52.80,25.58
57,"MATEOS, Matheo",2000,PAR,52.94,25.17
58,"CROOKS, Jordan",2002,CAY,53.52,25.53
59,"SAUBER, Bob",2001,LUX,53.59,26.01
60,"FELIX, Delron",2000,GRN,53.64,25.60
61,"ODLUM-SMITH, Jayhan",2002,LCA,54.99,25.96
62,"TAMAGNINI, Raffaele",2001,SMR,55.55,26.17
63,"KEANE, Noel",2002,PLW,55.59,26.52
64,"ODLUM, Ky",2002,ISV,56.23,26.56
65,"SAMIL, Nur Haziq",2001,BRU,58.38,27.73
66,"MHINI, Dennis Hamis",2001,TAN,58.53,27.87
67,"FAYEZ, Shihab Alaa Din Rizq",2002,OMA,1:00.68,28.65
68,"IBRAHIM, Mubal Azzam",2000,MDV,1:02.71,29.40
69,"RANIS, Daniel",2001,MHL,1:09.42,32.03
70,"KOLESNIKOV, Kliment",2000,RUS,48.04,23.39
71,"BURDISSO, Federico",2001,ITA,50.06,23.79
72,"SARTORI, Murilo",2002,BRA,50.55,24.48
73,"BRINKWORTH, Ashton",2000,AUS,50.79,24.27
74,"WANG, Guanbin",2000,CHN,51.40,25.16
75,"YOSHIDA, Keisuke",2000,JPN,52.14,25.24
76,"BARAO, William S",2001,USA,53.14,25.81
77,"DU PREEZ, Ethan M",2003,RSA,53.58,26.00
78,"SEEMANOVA, Barbora",2000,CZE,54.19,26.19
79,"YANG, Junxuan",2002,CHN,54.43,26.47
80,"KLANCAR, Neza",2000,SLO,54.55,26.61
81,"IKEMOTO, Nagisa",2002,JPN,55.37,26.54
82,"WEBB, Abbey",2001,AUS,55.61,27.08
83,"KLEVANOVICH, Elizaveta",2001,RUS,55.68,27.45
84,"GORBENKO, Anastasya",2003,ISR,55.88,26.94
85,"LEIBEL, Kyla",2001,CAN,56.16,27.58
86,"SEEMANOVA, Barbora",2000,CZE,54.61,26.50
87,"YANG, Junxuan",2002,CHN,54.79,26.80
88,"KLANCAR, Neza",2000,SLO,55.10,26.98
89,"IKEMOTO, Nagisa",2002,JPN,55.25,26.67
90,"KLEVANOVICH, Elizaveta",2001,RUS,55.34,27.45
91,"WEBB, Abbey",2001,AUS,55.69,27.25
92,"LEIBEL, Kyla",2001,CAN,55.93,26.87
93,"GORBENKO, Anastasya",2003,ISR,56.21,27.08
94,"YAMAMOTO, Mayuka",2000,JPN,56.37,26.92
95,"ANTONIOU, Kalia",2000,CYP,56.63,27.20
96,"RAURICH, Rafaela",2000,BRA,56.64,28.02
97,"MALUKA, Ieva",2003,LAT,56.65,27.72
98,"PETKOVA, Diana",2000,BUL,56.82,26.54
99,"DOUGLASS, Katherine C",2001,USA,57.15,27.70
100,"CHUE, Christie May Mun Ee",2000,SGP,57.29,27.34
101,"DELGADO, Anicka R",2002,ECU,57.67,27.05
102,"SEEMANOVA, Barbora",2000,CZE,55.15,26.31
103,"IKEMOTO, Nagisa",2002,JPN,55.51,26.83
104,"KLANCAR, Neza",2000,SLO,55.59,27.28
105,"YAMAMOTO, Mayuka",2000,JPN,55.95,26.81
106,"KLEVANOVICH, Elizaveta",2001,RUS,55.99,27.76
107,"WEBB, Abbey",2001,AUS,56.10,27.79
108,"LEIBEL, Kyla",2001,CAN,56.21,27.41
109,"GORBENKO, Anastasya",2003,ISR,56.33,27.78
110,"YANG, Junxuan",2002,CHN,56.50,27.58
111,"MALUKA, Ieva",2003,LAT,56.64,27.78
112,"DELGADO, Anicka R",2002,ECU,56.75,27.29
113,"ANTONIOU, Kalia",2000,CYP,56.76,27.71
114,"RAURICH, Rafaela",2000,BRA,56.80,27.74
115,"DOUGLASS, Katherine C",2001,USA,56.80,27.72
116,"PETKOVA, Diana",2000,BUL,56.83,27.23
117,"CHUE, Christie May Mun Ee",2000,SGP,56.92,27.36
118,"MROZINSKI, Julia",2000,GER,56.97,27.16
119,"VIEIRA, Ana Carolina",2001,BRA,57.00,27.43
120,"LEMA, Julieta",2000,ARG,57.07,26.67
121,"FAIRWEATHER, Erika",2003,NZL,57.16,27.80
122,"JORUNNARDOTTIR, Snaefridu",2000,ISL,57.22,27.26
123,"HEINOLA, Nea-Amanda",2000,FIN,57.22,27.28
124,"KOEHLER, Angelina",2000,GER,57.27,27.83
125,"RICHTER, Leoni",2000,SUI,57.27,27.73
126,"SEMIZHON, Alena",2003,BLR,57.31,27.87
127,"OLIVA, Nicole Justine Marie",2001,PHI,57.33,27.66
128,"GOLD, Aleksa",2000,EST,57.42,27.33
129,"FIEDKIEWICZ, Kornelia",2001,POL,57.63,27.27
130,"HO, Tinky",2002,HKG,58.02,28.08
131,"SANTANDER, Andrea E",2001,VEN,58.24,28.15
132,"JUNEVIK, Sara",2000,SWE,58.42,28.14
133,"PADRON SALAZAR, Maria Beatriz",2003,CRC,58.66,28.33
134,"POTOCKA, Tamara",2002,SVK,58.69,28.34
