,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"MURPHY, Ryan F",1995,USA,51.97,25.39
1,"XU, Jiayu",1995,CHN,52.31,25.26
2,"PLUMMER, David",1985,USA,52.40,25.35
3,"LARKIN, Mitchell",1993,AUS,52.43,25.18
4,"LACOURT, Camille",1985,FRA,52.70,25.78
5,"RYLOV, Evgeny",1996,RUS,52.74,25.92
6,"IRIE, Ryosuke",1990,JPN,53.42,25.87
7,"GLINTA, Robert",1997,ROU,53.50,25.94
8,"MURPHY, Ryan F",1995,USA,52.49,25.58
9,"PLUMMER, David",1985,USA,52.50,25.19
10,"LARKIN, Mitchell",1993,AUS,52.70,25.50
11,"LACOURT, Camille",1985,FRA,52.72,25.29
12,"XU, Jiayu",1995,CHN,52.73,25.50
13,"RYLOV, Evgeny",1996,RUS,52.84,25.68
14,"IRIE, Ryosuke",1990,JPN,53.21,25.92
15,"GLINTA, Robert",1997,ROU,53.34,25.48
16,"TARASEVICH, Grigory",1995,RUS,53.46,25.77
17,"REID, Christopher",1996,RSA,53.70,26.31
18,"WALKER-HEBBORN, Christopher",1990,GBR,53.75,25.88
19,"GLANIA, Jan-Philip",1988,GER,53.94,26.07
20,"BEAVER, Josh",1993,AUS,53.95,26.01
21,"GUIDO, Guilherme",1987,BRA,54.16,25.58
22,"MAIN, Corey C",1995,NZL,54.29,26.46
23,"RYAN, Shane",1994,IRL,54.40,25.94
24,"LACOURT, Camille",1985,FRA,52.96,25.51
25,"XU, Jiayu",1995,CHN,53.01,25.44
26,"LARKIN, Mitchell",1993,AUS,53.04,25.63
27,"MURPHY, Ryan F",1995,USA,53.06,25.86
28,"PLUMMER, David",1985,USA,53.19,25.48
29,"RYLOV, Evgeny",1996,RUS,53.25,25.77
30,"BEAVER, Josh",1993,AUS,53.47,25.79
31,"IRIE, Ryosuke",1990,JPN,53.49,26.07
32,"GLINTA, Robert",1997,ROU,53.51,25.74
33,"WALKER-HEBBORN, Christopher",1990,GBR,53.54,25.92
34,"TARASEVICH, Grigory",1995,RUS,53.65,25.39
35,"REID, Christopher",1996,RSA,53.68,25.82
36,"GUIDO, Guilherme",1987,BRA,53.80,26.24
37,"RYAN, Shane",1994,IRL,53.85,25.48
