,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"KOLESNIKOV, Kliment",2000,RUS,53.26,25.91
1,"MARTIN, Daniel Cristian",2000,ROU,53.59,25.65
2,"CECCON, Thomas",2001,ITA,53.65,26.64
3,"WANG, Guanbin",2000,CHN,55.33,26.70
4,"MARTOS BACARIZO, Manuel",2000,ESP,55.83,27.14
5,"NATARAJ, Srihari",2001,IND,56.12,26.99
6,"ZOMBORI, Gabor",2002,HUN,56.21,27.39
7,"BLACKBURN, Lewis",2000,AUS,56.23,27.70
8,"KOLESNIKOV, Kliment",2000,RUS,53.80,26.46
9,"MARTIN, Daniel Cristian",2000,ROU,54.08,25.93
10,"ZENIMOTO HVAS, Tomoe",2000,NOR,54.93,26.60
11,"CECCON, Thomas",2001,ITA,55.48,26.23
12,"WANG, Guanbin",2000,CHN,55.77,26.95
13,"ZOMBORI, Gabor",2002,HUN,56.19,27.12
14,"MARTOS BACARIZO, Manuel",2000,ESP,56.20,27.52
15,"BLACKBURN, Lewis",2000,AUS,56.27,27.49
16,"NATARAJ, Srihari",2001,IND,56.48,27.48
17,"TAUTKUS, Alanas",2000,LTU,56.49,27.58
18,"KIRBY, Jack",2000,BAR,56.67,27.20
19,"CHUANG, MU, Lun",2001,TPE,56.82,28.06
20,"HARDER, Ethan W",2000,USA,56.83,27.90
21,"ARDJOUNE, Abdallah",2001,ALG,56.86,27.76
22,"SOMERSET, Sebastian",2001,CAN,56.98,27.06
23,"PEIRIS, Dimuth Akalanka",2000,SRI,57.35,27.45
24,"KOLESNIKOV, Kliment",2000,RUS,54.26,26.60
25,"MARTIN, Daniel Cristian",2000,ROU,54.46,26.13
26,"CECCON, Thomas",2001,ITA,55.33,26.66
27,"ZENIMOTO HVAS, Tomoe",2000,NOR,55.64,26.29
28,"WANG, Guanbin",2000,CHN,56.01,27.16
29,"MARTOS BACARIZO, Manuel",2000,ESP,56.03,27.41
30,"BLACKBURN, Lewis",2000,AUS,56.24,27.40
31,"ZOMBORI, Gabor",2002,HUN,56.46,27.38
32,"NATARAJ, Srihari",2001,IND,56.75,28.02
33,"HARDER, Ethan W",2000,USA,56.80,27.83
34,"TAUTKUS, Alanas",2000,LTU,56.81,27.64
35,"SOMERSET, Sebastian",2001,CAN,56.84,27.81
36,"ARDJOUNE, Abdallah",2001,ALG,56.93,27.58
37,"CHUANG, MU, Lun",2001,TPE,56.94,27.78
38,"KIRBY, Jack",2000,BAR,57.03,27.44
39,"PEIRIS, Dimuth Akalanka",2000,SRI,57.34,27.78
40,"SWINBURN, Stuart",2001,AUS,57.46,28.50
41,"STSEGLOV, Ivan",2000,EST,57.57,27.57
42,"KALLSTROEM, Roni",2001,FIN,57.65,28.07
43,"MIGLBAUER, Marvin",2002,AUT,57.84,27.97
44,"GHAZIRI, Ramy",2003,LBN,58.27,27.68
45,"DUVENHAGE, Hendrik P",2001,RSA,58.31,27.78
46,"CRUZ ZUNIGA, Guillermo",2000,MEX,58.40,28.56
47,"MOK, Kai Tik Marcus",2001,HKG,58.63,28.29
48,"AITU, Bede M",2001,COK,1:03.49,30.57
49,"KOLESNIKOV, Kliment",2000,RUS,53.34,26.21
50,"KRASKA, Jakub",2000,POL,55.79,27.04
51,"WANG, Guanbin",2000,CHN,55.82,27.30
52,"ZOMBORI, Gabor",2002,HUN,56.40,27.20
53,"CALLONI, Johannes",2000,ITA,56.83,27.89
54,"SOMERSET, Sebastian",2001,CAN,57.10,27.45
55,"DUVENHAGE, Hendrik P",2001,RSA,57.98,27.09
56,"YOSHIDA, Keisuke",2000,JPN,1:00.11,29.45
57,"KOLESNIKOV, Kliment",2000,RUS,53.62,26.00
58,"KRASKA, Jakub",2000,POL,56.62,28.32
59,"ZOMBORI, Gabor",2002,HUN,56.76,27.74
60,"WANG, Guanbin",2000,CHN,56.93,27.53
61,"HARDER, Ethan W",2000,USA,57.01,27.62
62,"CALLONI, Johannes",2000,ITA,57.13,27.85
63,"SOMERSET, Sebastian",2001,CAN,57.24,27.83
64,"DUVENHAGE, Hendrik P",2001,RSA,58.80,27.68
65,"YOSHIDA, Keisuke",2000,JPN,59.16,28.82
66,"VASKINA, Daria",2002,RUS,1:00.45,29.60
67,"MCKEOWN, Kaylee",2001,AUS,1:00.58,29.26
68,"WHITE, Rhyan E",2000,USA,1:00.60,29.36
69,"EGOROVA, Polina",2000,RUS,1:01.25,29.46
70,"BROAD, Madison",2000,CAN,1:01.37,29.74
71,"PENG, Xuwei",2003,CHN,1:01.44,30.24
72,"FRIAS MOLINA, Tamara",2000,ESP,1:01.93,30.21
73,"SALCUTAN, Tatiana",2001,MDA,1:02.20,30.11
74,"EGOROVA, Polina",2000,RUS,1:00.92,29.66
75,"WHITE, Rhyan E",2000,USA,1:00.94,29.62
76,"VASKINA, Daria",2002,RUS,1:01.41,29.85
77,"MCKEOWN, Kaylee",2001,AUS,1:01.51,30.05
78,"BROAD, Madison",2000,CAN,1:01.66,30.10
79,"SALCUTAN, Tatiana",2001,MDA,1:02.04,30.71
80,"PENG, Xuwei",2003,CHN,1:02.12,30.23
81,"FRIAS MOLINA, Tamara",2000,ESP,1:02.17,29.96
82,"GOEIJ, Fernanda",2000,BRA,1:02.48,30.24
83,"ILYES, Laura Vanda",2001,HUN,1:02.90,30.21
84,"PESSANHA, Maria Luiza",2000,BRA,1:03.00,30.12
85,"SHKURDAI, Anastasiya",2003,BLR,1:03.06,30.54
86,"LOEYNING, Ingeborg Vassbakk",2000,NOR,1:03.26,30.64
87,"GALLOWAY, Gina M",2001,NZL,1:03.39,30.47
88,"GARCIA KIRICHENKO, Cristina",2001,ESP,1:03.39,31.08
89,"VENTER, Mariella G",2000,RSA,1:03.53,30.98
90,"WHITE, Rhyan E",2000,USA,1:00.88,29.85
91,"MCKEOWN, Kaylee",2001,AUS,1:01.29,30.21
92,"EGOROVA, Polina",2000,RUS,1:01.74,30.03
93,"PENG, Xuwei",2003,CHN,1:01.78,30.19
94,"BROAD, Madison",2000,CAN,1:01.86,29.80
95,"VASKINA, Daria",2002,RUS,1:02.05,30.11
96,"FRIAS MOLINA, Tamara",2000,ESP,1:02.13,30.82
97,"LOEYNING, Ingeborg Vassbakk",2000,NOR,1:02.50,30.12
98,"GALLOWAY, Gina M",2001,NZL,1:02.66,30.76
99,"SHKURDAI, Anastasiya",2003,BLR,1:02.68,30.58
100,"PESSANHA, Maria Luiza",2000,BRA,1:02.89,30.67
101,"ILYES, Laura Vanda",2001,HUN,1:02.97,30.37
102,"VENTER, Mariella G",2000,RSA,1:03.15,30.64
