,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"PEATY, Adam",1994,GBR,57.13,26.61
1,"VAN DER BURGH, Cameron",1988,RSA,58.69,27.24
2,"MILLER, Cody W",1992,USA,58.87,27.48
3,"CORDES, Kevin",1993,USA,59.22,27.39
4,"GOMES JUNIOR, Joao",1986,BRA,59.31,27.46
5,"KOSEKI, Yasuhiro",1992,JPN,59.37,28.17
6,"FRANCA DA SILVA, Felipe Alves",1987,BRA,59.38,28.69
7,"BALANDIN, Dmitriy",1995,KAZ,59.95,28.48
8,"PEATY, Adam",1994,GBR,57.62,26.71
9,"MILLER, Cody W",1992,USA,59.05,27.52
10,"VAN DER BURGH, Cameron",1988,RSA,59.21,27.37
11,"KOSEKI, Yasuhiro",1992,JPN,59.23,27.62
12,"CORDES, Kevin",1993,USA,59.33,27.89
13,"FRANCA DA SILVA, Felipe Alves",1987,BRA,59.35,28.23
14,"GOMES JUNIOR, Joao",1986,BRA,59.40,28.11
15,"BALANDIN, Dmitriy",1995,KAZ,59.45,27.78
16,"PACKARD, Jake",1994,AUS,59.48,27.89
17,"TITENIS, Giedrius",1989,LTU,59.80,28.35
18,"MURDOCH, Ross",1994,GBR,1:00.05,27.81
19,"VOM LEHN, Christian",1992,GER,1:00.23,28.81
20,"LI, Xiang",1993,CHN,1:00.25,28.90
21,"ZANKO, Vsevolod",1995,RUS,1:00.39,28.25
22,"SNYDERS, Glenn A",1987,NZL,1:00.50,28.02
23,"MURILLO VALDES, Jorge Mario",1991,COL,1:00.81,27.94
24,"PEATY, Adam",1994,GBR,57.55,26.69
25,"KOSEKI, Yasuhiro",1992,JPN,58.91,27.81
26,"FRANCA DA SILVA, Felipe Alves",1987,BRA,59.01,28.01
27,"CORDES, Kevin",1993,USA,59.13,27.71
28,"MILLER, Cody W",1992,USA,59.17,27.82
29,"PACKARD, Jake",1994,AUS,59.26,28.03
30,"VAN DER BURGH, Cameron",1988,RSA,59.35,27.69
31,"GOMES JUNIOR, Joao",1986,BRA,59.46,27.86
32,"MURDOCH, Ross",1994,GBR,59.47,27.78
33,"BALANDIN, Dmitriy",1995,KAZ,59.47,28.02
34,"LI, Xiang",1993,CHN,59.55,28.32
35,"TITENIS, Giedrius",1989,LTU,59.90,27.51
36,"ZANKO, Vsevolod",1995,RUS,59.91,28.21
37,"MURILLO VALDES, Jorge Mario",1991,COL,59.93,28.18
38,"VOM LEHN, Christian",1992,GER,1:00.13,28.48
39,"GYURTA, Daniel",1989,HUN,1:00.26,28.46
40,"SNYDERS, Glenn A",1987,NZL,1:00.26,28.12
41,"WATANABE, Ippei",1997,JPN,1:00.33,28.23
42,"SAMILIDIS, Panagiotis",1993,GRE,1:00.35,28.49
43,"PRIGODA, Kirill",1995,RUS,1:00.37,28.10
44,"DUGONJIC, Damir",1988,SLO,1:00.41,28.43
45,"TONIATO, Andrea",1991,ITA,1:00.45,28.03
46,"SIDLAUSKAS, Andrius",1997,LTU,1:00.59,28.58
47,"KAESER, Yannick",1992,SUI,1:00.71,28.41
48,"BLOCK, Jason",1989,CAN,1:00.71,28.78
49,"SILADJI, Caba",1990,SRB,1:00.76,28.23
50,"CARNOL, Laurent",1989,LUX,1:00.88,29.02
51,"YAN, Zibei",1995,CHN,1:00.88,29.10
52,"STOLARSKI, Marcin",1996,POL,1:01.06,28.03
53,"PALMER, Joshua",1991,AUS,1:01.13,28.15
54,"CLAVERIE, Carlos",1996,VEN,1:01.13,28.27
55,"PERSSON, Erik",1994,SWE,1:01.20,29.00
56,"QUINN, Nicholas",1993,IRL,1:01.29,29.15
57,"MUSTAFIN, Vladislav",1995,UZB,1:01.66,28.46
58,"MCKEE, Anton Sveinn",1993,ISL,1:01.84,28.67
59,"ALBARAZI, Azad",1988,SYR,1:02.22,28.29
60,"MATJUR, Radomyos",1988,THA,1:02.36,29.20
61,"MATTSSON, Matti",1993,FIN,1:02.45,28.78
62,"MELCONIAN ALVEZ, Martin Andres",1990,URU,1:02.67,29.06
63,"FLETCHER, Julian",1990,BER,1:02.73,29.10
64,"CRESPO, Edgar",1989,PAN,1:02.78,28.94
65,"KLOBUCNIK, Tomas",1990,SVK,1:02.93,29.11
66,"SCHULTE, Benjamin",1995,GUM,1:03.29,29.57
67,"TYNES, Dustin E",1996,BAH,1:03.71,29.66
68,"FONUA, Amini T",1989,TGA,1:06.40,29.89
69,"OLLIVIERRE, Corey",1997,GRN,1:08.68,31.26
70,"KING, Lillia C",1997,USA,1:04.93,30.22
71,"EFIMOVA, Yuliya",1992,RUS,1:05.50,30.70
72,"MEILI, Catherine M",1991,USA,1:05.69,30.43
73,"SHI, Jinglin",1993,CHN,1:06.37,30.82
74,"NICOL, Rachel",1993,CAN,1:06.68,31.64
75,"LUTHERSDOTTIR, Hrafnhildur",1991,ISL,1:07.18,30.87
76,"MEILUTYTE, Ruta",1997,LTU,1:07.32,30.65
77,"ATKINSON, Alia",1988,JAM,1:08.10,31.30
78,"KING, Lillia C",1997,USA,1:05.70,30.69
79,"EFIMOVA, Yuliya",1992,RUS,1:05.72,31.86
80,"SHI, Jinglin",1993,CHN,1:06.31,31.01
81,"MEILUTYTE, Ruta",1997,LTU,1:06.44,30.96
82,"ATKINSON, Alia",1988,JAM,1:06.52,31.23
83,"MEILI, Catherine M",1991,USA,1:06.52,31.24
84,"LUTHERSDOTTIR, Hrafnhildur",1991,ISL,1:06.71,31.37
85,"NICOL, Rachel",1993,CAN,1:06.73,31.52
86,"JOHANSSON, Jennie",1988,SWE,1:07.06,31.02
87,"PEDERSEN, Rikke Moeller",1989,DEN,1:07.07,31.67
88,"MCKEOWN, Taylor",1995,AUS,1:07.12,32.00
