,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"PEATY, Adam",1994,GBR,57.66,26.64
1,"KAMMINGA, Arno",1995,NED,58.10,27.01
2,"WILBY, James",1993,GBR,58.58,27.67
3,"SHYMANOVICH, Ilya",1994,BLR,58.75,26.85
4,"MARTINENGHI, Nicolo'",1999,ITA,58.94,26.94
5,"SIDLAUSKAS, Andrius",1997,LTU,59.31,27.70
6,"PINZUTI, Alessandro",1999,ITA,59.50,27.79
7,"OEGRETIR, Berkay Oemer",1998,TUR,59.52,27.87
8,"PEATY, Adam",1994,GBR,57.67,26.72
9,"MARTINENGHI, Nicolo'",1999,ITA,58.45,26.94
10,"KAMMINGA, Arno",1995,NED,58.74,27.55
11,"WILBY, James",1993,GBR,58.80,27.69
12,"PINZUTI, Alessandro",1999,ITA,59.20,27.58
13,"SHYMANOVICH, Ilya",1994,BLR,59.23,27.22
14,"OEGRETIR, Berkay Oemer",1998,TUR,59.23,27.65
15,"SIDLAUSKAS, Andrius",1997,LTU,59.30,27.57
16,"PRIGODA, Kirill",1995,RUS,59.36,27.77
17,"CHUPKOV, Anton",1997,RUS,59.49,28.07
18,"MATZERATH, Lucas",2000,GER,59.65,27.82
19,"SILADJI, Caba",1990,SRB,59.72,27.62
20,"MATTSSON, Matti",1993,FIN,59.99,28.14
21,"BJERG, Tobias B.",1998,DEN,1:00.12,27.60
22,"GREENE, Darragh",1995,IRL,1:00.26,27.91
23,"PERSSON, Erik",1994,SWE,1:00.50,28.25
24,"PEATY, Adam",1994,GBR,58.26,27.19
25,"SHYMANOVICH, Ilya",1994,BLR,58.46,27.10
26,"MARTINENGHI, Nicolo'",1999,ITA,58.88,27.13
27,"KAMMINGA, Arno",1995,NED,59.09,27.31
28,"CHUPKOV, Anton",1997,RUS,59.41,28.18
29,"PRIGODA, Kirill",1995,RUS,59.43,27.87
30,"PINZUTI, Alessandro",1999,ITA,59.45,27.88
31,"SIDLAUSKAS, Andrius",1997,LTU,59.54,27.96
32,"WILBY, James",1993,GBR,59.55,27.68
33,"OEGRETIR, Berkay Oemer",1998,TUR,59.63,27.97
34,"POGGIO, Federico",1998,ITA,59.67,27.55
35,"MATZERATH, Lucas",2000,GER,59.87,28.02
36,"BJERG, Tobias B.",1998,DEN,59.95,27.58
37,"MATTSSON, Matti",1993,FIN,1:00.04,28.25
38,"SILADJI, Caba",1990,SRB,1:00.14,27.55
39,"MURDOCH, Ross",1994,GBR,1:00.19,27.95
40,"GREENE, Darragh",1995,IRL,1:00.20,28.33
41,"SEMYANINOV, Danil",1998,RUS,1:00.22,28.33
42,"PERSSON, Erik",1994,SWE,1:00.23,28.48
43,"TITENIS, Giedrius",1989,LTU,1:00.32,28.39
44,"KOZAKIEWICZ, Jan",1996,POL,1:00.38,27.81
45,"GRINDHEIM, Andre Klippenberg",2000,NOR,1:00.38,28.39
46,"KLOBUCNIK, Tomas",1990,SVK,1:00.43,28.20
47,"CORBEAU, Caspar",2001,NED,1:00.52,28.52
48,"ZHIGALOV, Aleksandr",2001,RUS,1:00.64,28.28
49,"EPITROPOV, Lyubomir E",1999,BUL,1:00.70,28.47
50,"IMOUDU, Melvin",1999,GER,1:00.84,27.80
51,"CASTELLO, Andrea",1998,ITA,1:00.85,28.46
52,"ROTHBAUER, Christopher",1998,AUT,1:00.91,27.85
53,"PILGER, Max",1996,GER,1:01.06,28.81
54,"DESPLANCHES, Jeremy",1994,SUI,1:01.08,28.49
55,"BAYER, Valentin",1999,AUT,1:01.22,28.24
56,"DEMIR, Demirkan",2001,TUR,1:01.34,28.70
57,"BUSSIERE, Theo",1995,FRA,1:01.40,28.98
58,"RUOHONIEMI, Miikka",1993,FIN,1:01.41,28.62
59,"VIQUERAT, Antoine",1998,FRA,1:01.43,28.40
60,"SKAGIUS, Johannes",1995,SWE,1:01.45,29.35
61,"TAKACS, Tamas",1998,HUN,1:01.50,28.76
62,"MERETSOLIAS, Konstantinos",1998,GRE,1:01.56,28.48
63,"CARAZO BARBERO, Gonzalo",1996,ESP,1:01.61,28.86
64,"ZABOJNIK, Matej",2000,CZE,1:01.84,28.84
65,"QUINTAS, Francisco Robalo",1995,POR,1:01.87,29.03
66,"CHRAPAVY, Filip",1999,CZE,1:01.87,29.47
67,"KALUSOWSKI, Jan",2000,POL,1:01.90,28.71
68,"BOVEY, Jolann",1996,SUI,1:01.91,28.32
69,"KAESER, Yannick",1992,SUI,1:01.96,28.72
70,"LISOVETS', Volodymyr",2004,UKR,1:01.96,28.59
71,"SAVICKAS, Aleksas",2003,LTU,1:01.99,28.85
72,"HAARSAKER, Christoffer Tofte",1993,NOR,1:01.99,28.77
73,"ALLIKVEE, Martin",1995,EST,1:02.11,29.11
74,"LIUKKONEN, Ari-Pekka",1989,FIN,1:02.14,28.70
75,"KRYZHANIVS'KYY, Rostyslav",2004,UKR,1:02.32,29.03
76,"THOMOGLOU, Savvas",2001,GRE,1:02.43,29.28
77,"ASPOUGALIS, Arkadios-Georgios",2001,GRE,1:02.44,29.40
78,"NIINE, Joonas",2000,EST,1:02.50,28.61
79,"MOROTE PLAZA, Jaime",1997,ESP,1:02.74,29.09
80,"BOBROVS, Daniils",1997,LAT,1:02.76,29.49
81,"BALLESTER PUIG, Joan",1995,ESP,1:02.76,29.60
82,"HORVATH, David",1996,HUN,1:02.77,29.41
83,"POLONSKY, Ron",2001,ISR,1:02.87,29.55
84,"MLADENOVIC, Luka",2004,AUT,1:03.10,29.41
85,"TOROK, Dominik Mark",2002,HUN,1:03.19,29.86
86,"PITSHUGIN, Kristian",2001,ISR,1:03.20,29.21
87,"KUTASI, Mate",1998,HUN,1:03.28,30.00
88,"CASADEI, Giacomo",2002,SMR,1:04.11,30.42
89,"QARRI, Even",2003,ALB,1:11.21,32.85
90,"HANSSON, Sophie",1998,SWE,1:05.69,30.90
91,"CASTIGLIONI, Arianna",1997,ITA,1:06.13,31.45
92,"CARRARO, Martina",1993,ITA,1:06.21,31.22
93,"EFIMOVA, Yuliya",1992,RUS,1:06.33,31.42
94,"RENSHAW, Molly",1996,GBR,1:06.35,31.43
95,"VASEY, Sarah",1996,GBR,1:06.42,30.79
96,"MC SHARRY, Mona",2000,IRL,1:06.58,31.27
97,"JEFIMOVA, Eneli",2006,EST,1:06.83,31.31
98,"HANSSON, Sophie",1998,SWE,1:05.69,31.06
99,"CARRARO, Martina",1993,ITA,1:06.09,30.92
100,"RENSHAW, Molly",1996,GBR,1:06.21,31.59
101,"CASTIGLIONI, Arianna",1997,ITA,1:06.24,31.34
102,"EFIMOVA, Yuliya",1992,RUS,1:06.24,31.35
103,"MC SHARRY, Mona",2000,IRL,1:06.42,31.35
104,"JEFIMOVA, Eneli",2006,EST,1:06.47,31.79
105,"VASEY, Sarah",1996,GBR,1:06.53,31.10
106,"CHIKUNOVA, Evgeniia",2004,RUS,1:06.60,31.75
107,"HULKKO, Ida",1998,FIN,1:06.73,30.89
108,"GORBENKO, Anastasya",2003,ISR,1:06.74,31.33
109,"MAMIE, Lisa",1998,SUI,1:06.77,31.25
110,"VALL MONTERO, Jessica",1988,ESP,1:06.93,31.93
111,"TETEREVKOVA, Kotryna",2002,LTU,1:07.36,31.98
112,"SCHOUTEN, Tes",2000,NED,1:07.39,31.59
113,"FAST, Emelie",2004,SWE,1:07.85,31.92
114,"TETEREVKOVA, Kotryna",2002,LTU,1:07.33,32.17
115,"ROMANJUK, Maria",1996,EST,1:07.68,32.10
116,"CASTIGLIONI, Arianna",1997,ITA,1:05.98,31.59
117,"CARRARO, Martina",1993,ITA,1:06.26,31.33
118,"HANSSON, Sophie",1998,SWE,1:06.34,31.32
119,"PILATO, Benedetta",2005,ITA,1:06.34,31.14
