,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"GLINTA, Robert",1997,ROU,52.88,25.50
1,"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,52.90,25.92
2,"CHRISTOU, Apostolos",1996,GRE,52.97,25.16
3,"NDOYE BROUARD, Yohann",2000,FRA,52.97,25.75
4,"TOMAC, Mewen",2001,FRA,53.00,25.63
5,"CECCON, Thomas",2001,ITA,53.02,25.98
6,"GREENBANK, Luke",1997,GBR,53.34,25.99
7,"RYLOV, Evgeny",1996,RUS,53.51,25.89
8,"CHRISTOU, Apostolos",1996,GRE,52.77,25.17
9,"TOMAC, Mewen",2001,FRA,52.86,25.61
10,"GLINTA, Robert",1997,ROU,52.97,25.40
11,"NDOYE BROUARD, Yohann",2000,FRA,53.01,26.04
12,"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,53.14,26.05
13,"RYLOV, Evgeny",1996,RUS,53.15,25.86
14,"CECCON, Thomas",2001,ITA,53.34,25.83
15,"GREENBANK, Luke",1997,GBR,53.69,26.16
16,"CEJKA, Jan",2001,CZE,54.03,26.09
17,"FRANTA, Tomas",1998,CZE,54.21,25.97
18,"MAKRYGIANNIS, Eyaggelos",2000,GRE,54.32,26.14
19,"KOVACS, Benedek",1998,HUN,54.36,26.53
20,"BOHUS, Richard",1993,HUN,54.42,26.20
21,"STOKOWSKI, Kacper",1999,POL,54.47,26.70
22,"SABBIONI, Simone",1996,ITA,54.66,26.43
23,"KOLESNIKOV, Kliment",2000,RUS,54.86,26.65
24,"KOLESNIKOV, Kliment",2000,RUS,52.32,25.41
25,"NDOYE BROUARD, Yohann",2000,FRA,53.24,26.15
26,"GLINTA, Robert",1997,ROU,53.26,26.00
27,"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,53.37,26.03
28,"RYLOV, Evgeny",1996,RUS,53.37,26.30
29,"CECCON, Thomas",2001,ITA,53.43,26.08
30,"TOMAC, Mewen",2001,FRA,53.46,25.70
31,"CHRISTOU, Apostolos",1996,GRE,53.47,25.82
32,"TARASEVICH, Grigory",1995,RUS,53.55,26.28
33,"MITYUKOV, Roman",2000,SUI,53.87,26.07
34,"GREENBANK, Luke",1997,GBR,53.92,26.17
35,"BOHUS, Richard",1993,HUN,54.17,26.08
36,"MAKRYGIANNIS, Eyaggelos",2000,GRE,54.28,26.34
37,"KOVACS, Benedek",1998,HUN,54.29,26.51
38,"SABBIONI, Simone",1996,ITA,54.33,26.41
39,"CEJKA, Jan",2001,CZE,54.33,26.16
40,"FRANTA, Tomas",1998,CZE,54.45,26.28
41,"STOKOWSKI, Kacper",1999,POL,54.49,26.06
42,"TELEGDY, Adam",1995,HUN,54.53,26.23
43,"STASELOVICH, Viktar",1994,BLR,54.55,26.26
44,"ULRICH, Marek",1997,GER,54.58,26.52
45,"KAWECKI, Radoslaw",1991,POL,54.69,26.69
46,"COSTA, Joao Nogueira",2001,POR,54.70,26.82
47,"SANTOS, Francisco Rogerio",1998,POR,54.72,26.23
48,"LITCHFIELD, Joe",1998,GBR,54.83,26.79
49,"BOLLIN, Thierry",2000,SUI,54.86,26.23
50,"ORANGE, Maxence",1998,FRA,54.90,26.89
51,"GARCIA SAIZ, Nicolas",2002,ESP,54.97,26.67
52,"MORA, Lorenzo",1998,ITA,54.98,26.53
53,"WILLIAMS, Brodie",1999,GBR,55.00,26.69
54,"MASIUK, Ksawery",2004,POL,55.02,26.09
55,"JASZO, Adam",2002,HUN,55.18,26.95
56,"HOEKFELT, Gustav",1994,SWE,55.20,26.11
57,"MARTOS BACARIZO, Manuel",2000,ESP,55.21,27.08
58,"POLEWKA, Tomasz",1994,POL,55.24,25.97
59,"CLOGG, Elliot",1999,GBR,55.35,26.74
60,"KAMMANN, Bjoern",2001,GER,55.63,26.78
61,"LELLE, Armin Evert",1999,EST,55.65,26.83
62,"LEYTROVSKIY, Mihael",1999,ISR,55.66,26.30
63,"RESTIVO, Matteo",1994,ITA,55.69,26.73
64,"FELDBERGS, Girts",1993,LAT,55.72,26.93
65,"TSMYH, Mikita",1997,BLR,55.73,26.64
66,"GRIGAITIS, Erikas",2002,LTU,55.80,26.77
67,"MANNES, Max",1997,LUX,55.83,27.17
68,"LEVTEROV, Kaloyan",2003,BUL,56.06,26.98
69,"MARAANA, Adam",2003,ISR,56.19,26.89
70,"GERCHIK, David",2001,ISR,56.29,27.07
71,"MARTIN, Daniel Cristian",2000,ROU,56.38,26.71
72,"BOSKAN, Saso",2002,SLO,56.48,27.18
73,"TOERNQVIST, Samuel",1997,SWE,57.00,27.56
74,"SENICA PAVLETIC, Primoz",2001,SLO,57.16,27.70
75,"AHTIAINEN, Alex",2001,EST,57.25,27.81
76,"DUEGEN, Meliksah",2002,TUR,57.67,27.89
77,"IAKOVIDIS, Filippos",1998,CYP,57.88,27.93
78,"LUDVIK, Tomas",1999,CZE,58.19,27.92
79,"THORARINSSON, Kristinn",1996,ISL,58.24,27.82
80,"HADJICHRISTOFOROU, Tryfonas",1993,CYP,58.50,28.43
