,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"SCHOOLING, Joseph",1995,SGP,50.39,23.64
1,"LE CLOS, Chad Guy Bertrand",1992,RSA,51.14,24.09
2,"PHELPS, Michael",1985,USA,51.14,24.16
3,"CSEH, Laszlo",1985,HUN,51.14,24.06
4,"LI, Zhuhao",1999,CHN,51.26,24.04
5,"METELLA, Mehdy",1992,FRA,51.58,24.24
6,"SHIELDS, Thomas A",1991,USA,51.73,24.28
7,"SADOVNIKOV, Alexander",1996,RUS,51.84,23.96
8,"SCHOOLING, Joseph",1995,SGP,50.83,23.81
9,"LE CLOS, Chad Guy Bertrand",1992,RSA,51.43,24.01
10,"LI, Zhuhao",1999,CHN,51.51,24.11
11,"CSEH, Laszlo",1985,HUN,51.57,24.24
12,"PHELPS, Michael",1985,USA,51.58,24.47
13,"SHIELDS, Thomas A",1991,USA,51.61,24.16
14,"SADOVNIKOV, Alexander",1996,RUS,51.71,23.65
15,"METELLA, Mehdy",1992,FRA,51.73,24.17
16,"MORGAN, David",1994,AUS,51.75,24.48
17,"CZERNIAK, Konrad",1989,POL,51.80,23.81
18,"CODIA, Piero",1989,ITA,51.82,23.73
19,"CONDORELLI, Santo",1995,CAN,51.83,23.97
20,"IRVINE, Grant",1991,AUS,51.87,24.42
21,"GUY, James",1995,GBR,52.10,24.30
22,"ZHENG WEN, Quah",1996,SGP,52.26,24.29
23,"KOPTELOV, Evgeny",1993,RUS,52.50,24.94
24,"SCHOOLING, Joseph",1995,SGP,51.41,24.21
25,"CSEH, Laszlo",1985,HUN,51.52,24.23
26,"SHIELDS, Thomas A",1991,USA,51.58,24.34
27,"PHELPS, Michael",1985,USA,51.60,24.50
28,"METELLA, Mehdy",1992,FRA,51.71,24.10
29,"CODIA, Piero",1989,ITA,51.72,23.70
30,"LE CLOS, Chad Guy Bertrand",1992,RSA,51.75,24.25
31,"GUY, James",1995,GBR,51.78,24.42
32,"LI, Zhuhao",1999,CHN,51.78,24.64
33,"MORGAN, David",1994,AUS,51.81,24.72
34,"CZERNIAK, Konrad",1989,POL,51.81,23.83
35,"IRVINE, Grant",1991,AUS,51.84,24.31
36,"SADOVNIKOV, Alexander",1996,RUS,51.91,23.99
