,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"MILAK, Kristof",2000,HUN,50.18,23.58
1,"MILADINOV, Josif",2003,BUL,50.93,23.88
2,"GUY, James",1995,GBR,50.99,23.80
3,"MAJERSKI, Jakub",2000,POL,51.11,24.23
4,"BURDISSO, Federico",2001,ITA,51.39,24.10
5,"VEKOVISHCHEV, Mikhail",1998,RUS,51.43,23.65
6,"PONTI, Noe",2001,SUI,51.45,24.21
7,"SZABO, Szebasztian",1996,HUN,51.86,23.64
8,"MILAK, Kristof",2000,HUN,50.62,23.72
9,"GUY, James",1995,GBR,50.96,23.82
10,"MILADINOV, Josif",2003,BUL,51.10,23.80
11,"MAJERSKI, Jakub",2000,POL,51.18,24.31
12,"PONTI, Noe",2001,SUI,51.43,24.27
13,"SZABO, Szebasztian",1996,HUN,51.45,23.78
14,"VEKOVISHCHEV, Mikhail",1998,RUS,51.50,23.92
15,"BURDISSO, Federico",2001,ITA,51.66,24.48
16,"KORZENIOWSKI, Pawel",1985,POL,51.72,24.24
17,"BUCHER, Simon",2000,AUT,51.80,23.66
18,"CODIA, Piero",1989,ITA,51.86,23.86
19,"IVANOV, Antani A",1999,BUL,51.94,24.44
20,"MINAKOV, Andrei",2002,RUS,51.98,23.53
21,"CROENEN, Louis",1994,BEL,52.13,24.34
22,"KORSTANJE, Nyls",1999,NED,52.25,23.86
23,"SEFL, Jan",1990,CZE,52.36,24.10
24,"MILAK, Kristof",2000,HUN,50.64,24.15
25,"MILADINOV, Josif",2003,BUL,51.42,24.05
26,"PONTI, Noe",2001,SUI,51.49,24.38
27,"GUY, James",1995,GBR,51.52,24.26
28,"SZABO, Szebasztian",1996,HUN,51.66,23.85
29,"CODIA, Piero",1989,ITA,51.82,23.95
30,"KORSTANJE, Nyls",1999,NED,51.83,23.62
31,"BURDISSO, Federico",2001,ITA,51.83,24.40
32,"RIVOLTA, Matteo",1991,ITA,51.84,24.33
33,"MINAKOV, Andrei",2002,RUS,51.91,23.99
34,"MAJERSKI, Jakub",2000,POL,51.91,24.81
35,"IVANOV, Antani A",1999,BUL,51.93,24.30
36,"KOS, Hubert",2003,HUN,51.93,24.17
37,"CROENEN, Louis",1994,BEL,52.06,24.33
38,"SEFL, Jan",1990,CZE,52.21,24.22
39,"VEKOVISHCHEV, Mikhail",1998,RUS,52.21,24.09
40,"BUCHER, Simon",2000,AUT,52.25,23.91
41,"KORZENIOWSKI, Pawel",1985,POL,52.28,24.34
42,"METELLA, Mehdy",1992,FRA,52.31,24.34
43,"GUERES, Uemitcan",1999,TUR,52.32,24.63
44,"TSURKIN, Yauhen",1990,BLR,52.37,24.07
45,"MILJENIC, Nikola",1998,CRO,52.38,24.19
46,"RAZZETTI, Alberto",1999,ITA,52.48,24.46
47,"CIESLAK, Marcin",1992,POL,52.58,24.86
48,"FRANKEL, Tomer",2000,ISR,52.59,24.44
49,"MILDRED, Edward",2003,GBR,52.61,24.76
50,"LOZANO MATEOS, Alberto",1998,ESP,52.61,24.40
51,"TROYANOVS'KYY, Igor",2002,UKR,52.63,24.89
52,"KLENZ, Ramon",1998,GER,52.65,24.57
53,"PETERS, Jacob",2000,GBR,52.70,24.75
54,"AHTIAINEN, Alex",2001,EST,52.73,24.31
55,"MARGEVICIUS, Deividas",1995,LTU,52.74,24.33
56,"KAMMANN, Bjoern",2001,GER,52.80,24.63
57,"KUDASHEV, Alexander",1995,RUS,52.82,25.06
58,"VERLINDEN, Joeri",1988,NED,52.87,24.64
59,"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,52.87,24.80
60,"NICKELSEN, Rasmus",2003,DEN,53.09,24.17
61,"SANCOV, Alexei",1999,MDA,53.26,24.64
62,"LEMESHKO, Lyubomyr",1992,UKR,53.31,24.46
63,"SJOEDIN, Simon",1986,SWE,53.45,24.72
64,"KESIL', Denys",2000,UKR,53.51,24.90
65,"VAZAIOS, Andreas",1994,GRE,53.61,25.18
66,"MARTON, Richard",1999,HUN,53.64,24.74
67,"ZENIMOTO HVAS, Tomoe",2000,NOR,53.64,24.13
68,"HALAS, Adam",1998,SVK,53.88,25.04
69,"MAEKELAE, Niko",1998,FIN,54.03,24.92
70,"PEKARSKI, Grigori",1998,BLR,54.10,24.56
71,"DIMITRIADIS, Stefanos",1989,GRE,54.10,25.51
72,"HLOBEN, Adam",2001,CZE,54.16,25.19
73,"HOFF, Oskar",1998,SWE,54.20,24.99
74,"LIESS, Nils",1996,SUI,54.21,24.98
75,"LENDJER, Ivan",1990,SRB,54.52,24.79
76,"LUNAK, Sebastian",2002,CZE,54.52,25.31
77,"GSCHWENTNER, Xaver",1999,AUT,54.53,25.58
78,"VALIZADA, Ramil",2004,AZE,55.12,26.22
79,"HANSEN, Andreas",2000,DEN,55.21,26.37
80,"ESPERNBERGER, Martin",2003,AUT,55.29,26.05
81,"PANCEREVAS, Daniil",2004,LTU,55.47,25.61
82,"LOMERO ARENAS, Tomas",2001,AND,56.50,26.34
83,"PETROVSKI, Davor",2000,MKD,58.08,27.08
84,"SIMONOVSKI, Ivan",2000,MKD,58.23,26.94
85,"PUYO, Emilien",2003,MON,59.69,27.68
86,"PRISKA, Paolo",2004,ALB,1:00.16,27.34
87,"NTOUNTOUNAKI, Anna",1995,GRE,57.37,26.89
88,"WATTEL, Marie",1997,FRA,57.37,26.88
89,"HANSSON, Louise",1996,SWE,57.56,26.59
90,"CHIMROVA, Svetlana",1996,RUS,57.65,26.88
91,"DI LIDDO, Elena",1993,ITA,58.05,26.94
92,"SHKURDAI, Anastasiya",2003,BLR,58.10,26.74
93,"SURKOVA, Arina",1998,RUS,58.21,26.54
94,"BIANCHI, Ilaria",1990,ITA,58.41,27.09
95,"HANSSON, Louise",1996,SWE,56.73,26.54
96,"WATTEL, Marie",1997,FRA,57.48,27.02
97,"CHIMROVA, Svetlana",1996,RUS,57.62,27.01
98,"SURKOVA, Arina",1998,RUS,57.77,26.77
99,"NTOUNTOUNAKI, Anna",1995,GRE,57.77,26.85
100,"DI LIDDO, Elena",1993,ITA,57.88,27.17
101,"SHKURDAI, Anastasiya",2003,BLR,57.92,26.94
102,"BIANCHI, Ilaria",1990,ITA,58.06,27.27
103,"BECKMANN, Emilie",1997,DEN,58.24,27.19
104,"STEPHENS, Laura Kathleen",1999,GBR,58.45,27.20
105,"UGOLKOVA, Maria",1989,SUI,58.56,27.38
106,"KOEHLER, Angelina",2000,GER,58.64,27.20
107,"SEBESTYEN, Dalma",1997,HUN,58.85,27.52
108,"JONES, Harriet",1997,GBR,59.05,27.22
109,"PEDA, Paulina",1998,POL,59.27,27.22
110,"BUYS, Kimberly",1989,BEL,1:00.18,27.40
111,"HANSSON, Louise",1996,SWE,57.06,26.45
112,"WATTEL, Marie",1997,FRA,57.69,26.49
113,"SURKOVA, Arina",1998,RUS,57.89,26.88
114,"CHIMROVA, Svetlana",1996,RUS,58.05,26.98
115,"SHKURDAI, Anastasiya",2003,BLR,58.26,27.05
116,"DI LIDDO, Elena",1993,ITA,58.29,27.30
117,"NTOUNTOUNAKI, Anna",1995,GRE,58.31,27.56
118,"BIANCHI, Ilaria",1990,ITA,58.40,27.16
119,"STEPHENS, Laura Kathleen",1999,GBR,58.71,27.42
120,"PEDA, Paulina",1998,POL,58.90,27.23
121,"SEBESTYEN, Dalma",1997,HUN,59.10,27.59
122,"BUYS, Kimberly",1989,BEL,59.10,27.29
123,"KOEHLER, Angelina",2000,GER,59.12,27.26
124,"BECKMANN, Emilie",1997,DEN,59.34,27.37
125,"JONES, Harriet",1997,GBR,59.36,27.45
126,"UGOLKOVA, Maria",1989,SUI,59.39,27.74
127,"THOMAS, Alys",1990,GBR,59.46,27.93
128,"KULIASHOVA, Anastasiya",2001,BLR,59.59,27.22
129,"JUNEVIK, Sara",2000,SWE,59.62,27.34
130,"MACINNES, Keanna",2001,GBR,59.64,27.46
131,"UGRAI, Panna",2004,HUN,59.77,27.86
132,"CRISPINO, Antonella",2003,ITA,59.79,27.81
133,"KAJTAZ, Amina",1996,BIH,59.87,27.99
134,"WAARD de, Maaike",1996,NED,1:00.09,26.55
135,"JANICKOVA, Barbora",2000,CZE,1:00.11,27.43
136,"POTOCKA, Tamara",2002,SVK,1:00.28,29.12
137,"NAZIEBLO, Klaudia",1993,POL,1:00.33,27.41
138,"HIERRO PUJOL, Aina",1998,ESP,1:00.52,27.98
139,"HATHAZI, Dora",2003,HUN,1:00.54,28.16
140,"ROSVALL, Hanna",2000,SWE,1:00.60,27.95
141,"USTUNDAG, Nida Eliz",1996,TUR,1:00.77,28.33
142,"GUILLAMON NOVO, Alba",2000,ESP,1:00.77,28.29
143,"MONTEIRO, Ana Catarina",1993,POR,1:00.83,28.67
144,"LAHTINEN, Laura",2003,FIN,1:00.85,28.46
145,"GIELE, Tessa",2002,NED,1:00.96,27.95
146,"RIPKOVA, Zora",2002,SVK,1:01.24,28.79
147,"NOGAJ, Paulina",1998,POL,1:01.25,28.10
148,"TOURETSKI, Sasha",1994,SUI,1:01.42,27.33
149,"HUFNAGL, Claudia",1996,AUT,1:01.42,28.78
150,"LAUKKANEN, Jenna",1995,FIN,1:01.51,28.23
151,"SHEIKHALIZADEHKHANGHAH, Maryam",2004,AZE,1:01.63,28.60
152,"LILJEQVIST, Ida",1999,SWE,1:01.70,28.85
153,"STANISAVLJEVIC, Nina",2004,SRB,1:01.78,29.03
154,"ULLMANN, Julia",2005,SUI,1:01.90,28.66
155,"NYIRADI, Reka",2004,HUN,1:01.90,28.69
156,"MALUKA, Ieva",2003,LAT,1:01.90,28.52
157,"KOSTROMINA, Viktoriya",2004,UKR,1:02.43,28.48
158,"POPOVIC, Tanja",2004,SRB,1:02.56,29.32
159,"VANOTTERDIJK, Roos",2005,BEL,1:02.70,28.34
160,"VEDEHHOVA, Alina",1999,EST,1:02.76,28.18
161,"MARUSAKOVA, Emma",2003,SVK,1:02.92,29.09
162,"SCHAAD, Tamara",2002,SUI,1:03.03,29.57
163,"ROCK, Katie",2003,ALB,1:07.27,31.84
164,"RUUSKA, Martta",2003,FIN,1:08.56,30.71
