,Name,Date Of Birth,Country,Number_100m,Number_50m
0,"KOLESNIKOV, Kliment",2000,RUS,47.37,22.50
1,"MIRESSI, Alessandro",1998,ITA,47.45,22.70
2,"MINAKOV, Andrei",2002,RUS,47.74,22.83
3,"NEMETH, Nandor",1999,HUN,47.84,23.41
4,"GROUSSET, Maxime",1999,FRA,47.90,23.15
5,"POPOVICI, David",2004,ROU,48.08,23.05
6,"DEAN, Thomas",2000,GBR,48.30,23.13
7,"MITYUKOV, Roman",2000,SUI,48.47,23.55
8,"MIRESSI, Alessandro",1998,ITA,47.53,22.73
9,"MINAKOV, Andrei",2002,RUS,47.82,23.01
10,"KOLESNIKOV, Kliment",2000,RUS,47.85,22.91
11,"NEMETH, Nandor",1999,HUN,48.02,23.57
12,"GROUSSET, Maxime",1999,FRA,48.09,23.31
13,"MITYUKOV, Roman",2000,SUI,48.28,23.42
14,"POPOVICI, David",2004,ROU,48.28,23.37
15,"DEAN, Thomas",2000,GBR,48.39,23.19
16,"BARNA, Andrej",1998,SRB,48.41,23.20
17,"ZAZZERI, Lorenzo",1994,ITA,48.59,23.25
18,"SZABO, Szebasztian",1996,HUN,48.87,23.20
19,"PIJNENBURG, Stan",1996,NED,48.89,23.30
20,"DJAKOVIC, Antonio",2002,SUI,48.96,23.70
21,"SEELIGER, Bjoern",2000,SWE,48.99,23.03
22,"RICHARDS, Matthew",2002,GBR,49.01,23.68
23,"SHEVTSOV, Sergii",1998,UKR,49.33,23.13
24,"KOLESNIKOV, Kliment",2000,RUS,47.53,22.83
25,"MIRESSI, Alessandro",1998,ITA,47.81,23.01
26,"MINAKOV, Andrei",2002,RUS,47.88,23.09
27,"BARNA, Andrej",1998,SRB,48.17,22.88
28,"POPOVICI, David",2004,ROU,48.30,23.31
29,"GROUSSET, Maxime",1999,FRA,48.36,23.31
30,"GRINEV, Vladislav",1996,RUS,48.36,23.25
31,"NEMETH, Nandor",1999,HUN,48.38,23.75
32,"ZHILKIN, Andrey",1995,RUS,48.40,23.37
33,"MITYUKOV, Roman",2000,SUI,48.56,23.51
34,"SZABO, Szebasztian",1996,HUN,48.59,23.09
35,"DEAN, Thomas",2000,GBR,48.66,23.28
36,"MILAK, Kristof",2000,HUN,48.72,23.94
37,"RICHARDS, Matthew",2002,GBR,48.73,23.76
38,"DJAKOVIC, Antonio",2002,SUI,48.74,23.51
39,"PIJNENBURG, Stan",1996,NED,48.76,23.36
40,"WHITTLE, Jacob",2004,GBR,48.78,23.82
41,"ZAZZERI, Lorenzo",1994,ITA,48.80,23.56
42,"FRIGO, Manuel",1997,ITA,48.90,23.57
43,"SEELIGER, Bjoern",2000,SWE,48.98,22.93
44,"SHEVTSOV, Sergii",1998,UKR,49.02,23.02
45,"RIHOUX, Charles",1998,FRA,49.04,23.37
46,"GKOLOMEEV, Kristian",1993,GRE,49.05,23.20
47,"STJEPANOVIC, Velimir",1993,SRB,49.05,23.54
48,"KRASKA, Jakub",2000,POL,49.08,23.75
49,"DE MEULEMEESTER, Sebastien",1998,BEL,49.33,23.50
50,"BEROL, Julien",2001,FRA,49.35,23.77
51,"SALCHOW, Josha",1999,GER,49.37,23.45
52,"GIGLER, Heiko",1996,AUT,49.38,23.58
53,"BILIS, Simonas",1993,LTU,49.38,23.69
54,"PISZCZOROWICZ, Bartosz",1999,POL,49.38,23.66
55,"PUTS, Jesse",1994,NED,49.41,23.01
56,"BONDAR, Artem",2002,UKR,49.42,23.63
57,"MAJCHRZAK, Kacper",1992,POL,49.42,23.87
58,"KORSTANJE, Nyls",1999,NED,49.46,23.45
59,"THIJS, Thomas",1997,BEL,49.46,23.46
60,"HOLODA, Peter",1996,HUN,49.50,23.26
61,"ZAITSEV, Daniel",1997,EST,49.51,23.23
62,"BERG EISCHEID, Moritz",1993,ESP,49.56,23.85
63,"LIESS, Nils",1996,SUI,49.58,23.58
64,"MARCOURT, Alexandre",1999,BEL,49.58,23.80
65,"HANSON, Robin",2001,SWE,49.61,23.41
66,"ELIASSON, Isak",1996,SWE,49.66,23.94
67,"NASCIMENTO, Miguel Duarte",1995,POR,49.68,23.45
68,"MILJENIC, Nikola",1998,CRO,49.69,23.75
69,"CHERUTI, Meiron Amir",1997,ISR,49.75,23.31
70,"ACIN, Nikola",1999,SRB,49.75,23.34
71,"DEPLANO, Leonardo",1999,ITA,49.77,23.57
72,"NESTERKIN, Valentyn",2001,UKR,49.82,23.90
73,"KAMMANN, Bjoern",2001,GER,49.83,23.63
74,"LIE, Markus",1995,NOR,49.85,23.86
75,"NIKOLIC, Uros",1996,SRB,49.93,24.21
76,"LIUKKONEN, Ari-Pekka",1989,FIN,49.99,23.78
77,"HERRALA, Anton",1993,FIN,50.00,24.09
78,"AHTIAINEN, Alex",2001,EST,50.06,23.53
79,"CIESLAK, Marcin",1992,POL,50.08,23.87
80,"TSURKIN, Yauhen",1990,BLR,50.08,23.83
81,"MACHEKIN, Artsiom",1991,BLR,50.09,24.02
82,"DALEIDEN, Ralph",2003,LUX,50.11,23.95
83,"LIA, Nicholas",2001,NOR,50.13,23.77
84,"MOLLA YANES, Mario",2002,ESP,50.15,24.00
85,"MELADINIS, Odyssefs",1990,GRE,50.19,23.84
86,"ACIMIS, Yalim",1994,TUR,50.20,24.06
87,"STOICA-CONSTANTIN, George-Alexandru",2000,ROU,50.22,24.32
88,"STOJKOVSKI, Niksa",1994,NOR,50.25,23.76
89,"FRANKEL, Tomer",2000,ISR,50.28,24.26
90,"PEKARSKI, Grigori",1998,BLR,50.38,24.05
91,"BRANDENBURGER, Pit",1995,LUX,50.41,24.46
92,"DUSA, Matej",2000,SVK,50.50,23.70
93,"AERENTS, Jasper",1992,BEL,50.51,23.28
94,"PANCEREVAS, Daniil",2004,LTU,50.56,24.44
95,"LINNYK, Illya",2001,UKR,50.60,24.55
96,"BARSEGHYAN, Artur",2002,ARM,50.63,23.67
97,"COHEN GROUMI, Gal",2002,ISR,50.76,24.36
98,"ANTONIOU, Nikolas",2004,CYP,50.78,24.37
99,"KEBLYS, Jokubas",2002,LTU,50.79,24.14
100,"HOLMQUIST, Marcus",2000,SWE,50.80,24.50
101,"CELIK, Doga",1991,TUR,50.80,24.29
102,"YANCHEV, Yordan",2001,BUL,50.92,24.58
103,"NAVIKONIS, Tomas",2003,LTU,51.09,24.25
104,"BJELAJAC, Nikola",1998,BIH,51.23,24.52
105,"BOSKAN, Saso",2002,SLO,51.30,24.20
106,"DUEGEN, Meliksah",2002,TUR,51.54,24.57
107,"UENLUE, Baturalp",2002,TUR,51.63,25.09
108,"MALACHI, Constantin",1997,MDA,51.95,24.33
109,"ABESADZE, David",2002,GEO,52.03,24.80
110,"LOMERO ARENAS, Bernat",1997,AND,52.07,24.89
111,"LOMERO ARENAS, Tomas",2001,AND,52.58,25.42
112,"RADULOVIC, Bosko",1996,MNE,52.95,25.30
113,"GARGOVIC, Ado",1998,MNE,53.56,25.38
114,"TSHAGHARYAN, Eduard",2001,ARM,54.26,25.66
115,"PRISKA, Paolo",2004,ALB,54.68,26.05
116,"MAMIKONYAN, Vladimir",1996,ARM,54.68,25.23
117,"BYTYQI, Vigan",2004,KOS,54.79,26.19
118,"CHIABAUT, Theo",1999,MON,54.96,25.61
119,"KONDIROLLI, Olt",2003,KOS,55.13,26.30
120,"FALOPPA, Ethan",2005,MON,55.17,25.81
121,"UKIMERAJ, Dren",2001,KOS,57.09,26.95
122,"MIRESSI, Alessandro",1998,ITA,47.74,22.95
123,"MINAKOV, Andrei",2002,RUS,48.18,23.18
124,"MITYUKOV, Roman",2000,SUI,48.20,23.39
125,"DEAN, Thomas",2000,GBR,48.32,23.43
126,"CHRISTOU, Apostolos",1996,GRE,48.39,23.12
127,"NEMETH, Nandor",1999,HUN,48.41,22.92
128,"STJEPANOVIC, Velimir",1993,SRB,48.72,23.41
129,"KORSTANJE, Nyls",1999,NED,48.86,23.18
130,"MIRESSI, Alessandro",1998,ITA,47.95,23.09
131,"MITYUKOV, Roman",2000,SUI,48.21,23.31
132,"CHRISTOU, Apostolos",1996,GRE,48.65,23.33
133,"KORSTANJE, Nyls",1999,NED,48.88,22.89
134,"HANSON, Robin",2001,SWE,48.93,23.16
135,"ZHILKIN, Andrey",1995,RUS,48.93,23.48
136,"RICHARDS, Matthew",2002,GBR,49.12,23.77
137,"MC MILLAN, Jack",2000,IRL,49.12,23.95
138,"STJEPANOVIC, Velimir",1993,SRB,49.25,23.57
139,"CZERNIAK, Konrad",1989,POL,49.30,23.13
140,"KOZMA, Dominik",1991,HUN,49.49,23.64
141,"MARCOURT, Alexandre",1999,BEL,49.58,23.73
142,"NASCIMENTO, Miguel Duarte",1995,POR,49.66,23.56
143,"NESTERKIN, Valentyn",2001,UKR,49.79,23.98
144,"FRANKEL, Tomer",2000,ISR,49.85,23.67
145,"LIE, Markus",1995,NOR,50.06,23.81
146,"ACIMIS, Yalim",1994,TUR,50.07,23.71
147,"MARGEVICIUS, Deividas",1995,LTU,50.35,23.91
148,"MANNES, Max",1997,LUX,50.98,24.61
149,"HALAS, Adam",1998,SVK,51.76,25.00
150,"KONDIROLLI, Olt",2003,KOS,55.84,26.95
151,"HEEMSKERK, Femke",1987,NED,53.05,25.67
152,"WATTEL, Marie",1997,FRA,53.32,25.98
153,"HOPKIN, Anna",1996,GBR,53.43,25.56
154,"KROMOWIDJOJO, Ranomi",1990,NED,53.44,25.75
155,"ANDERSON, Freya",2001,GBR,53.56,25.83
156,"BRO, Signe",1999,DEN,53.69,26.14
157,"SEEMANOVA, Barbora",2000,CZE,53.74,25.72
158,"COLEMAN, Michelle",1993,SWE,54.15,25.89
159,"WATTEL, Marie",1997,FRA,53.34,25.86
160,"HEEMSKERK, Femke",1987,NED,53.49,25.79
161,"KROMOWIDJOJO, Ranomi",1990,NED,53.59,25.94
162,"SEEMANOVA, Barbora",2000,CZE,53.68,25.92
163,"BRO, Signe",1999,DEN,53.70,26.14
164,"HOPKIN, Anna",1996,GBR,53.74,25.75
165,"ANDERSON, Freya",2001,GBR,53.93,26.15
166,"COLEMAN, Michelle",1993,SWE,54.12,25.86
167,"MUREZ, Andrea",1992,ISR,54.18,26.04
168,"KLANCAR, Neza",2000,SLO,54.47,26.24
169,"WASICK, Katarzyna",1992,POL,54.47,26.14
170,"MUNOZ DEL CAMPO, Lidon",1995,ESP,54.76,26.20
171,"SURKOVA, Arina",1998,RUS,54.86,26.21
172,"DI PIETRO, Silvia",1993,ITA,54.87,26.24
173,"GYURINOVICS, Fanni",2001,HUN,55.04,26.45
174,"TEIJONSALO, Fanny",1996,FIN,55.11,26.14
175,"HEEMSKERK, Femke",1987,NED,53.84,26.14
176,"HOPKIN, Anna",1996,GBR,53.94,25.78
177,"KROMOWIDJOJO, Ranomi",1990,NED,54.04,25.89
178,"WATTEL, Marie",1997,FRA,54.07,26.22
179,"MUREZ, Andrea",1992,ISR,54.19,26.15
180,"ANDERSON, Freya",2001,GBR,54.25,26.19
181,"SEEMANOVA, Barbora",2000,CZE,54.26,26.19
182,"WASICK, Katarzyna",1992,POL,54.31,25.98
183,"BRO, Signe",1999,DEN,54.31,26.05
184,"HOPE, Lucy",1997,GBR,54.33,26.16
185,"COLEMAN, Michelle",1993,SWE,54.41,26.30
186,"KLANCAR, Neza",2000,SLO,54.54,26.27
187,"KAMENEVA, Maria",1999,RUS,54.60,26.56
188,"BUSCH, Kim",1998,NED,54.62,26.10
189,"MUNOZ DEL CAMPO, Lidon",1995,ESP,54.67,26.46
190,"TEIJONSALO, Fanny",1996,FIN,54.72,26.33
191,"DI PIETRO, Silvia",1993,ITA,54.75,26.48
192,"GYURINOVICS, Fanni",2001,HUN,55.04,26.65
193,"SURKOVA, Arina",1998,RUS,55.19,26.80
194,"SEGEL, Janja",2001,SLO,55.20,26.51
195,"KOST, Nina",1995,SUI,55.22,26.39
196,"TARANTINO, Chiara",2003,ITA,55.24,26.63
197,"DUMONT, Valentine",2000,BEL,55.35,27.02
198,"DAVIS, Evelyn",2004,GBR,55.38,26.88
199,"MEYNEN, Julie-Marie",1997,LUX,55.46,26.77
200,"OZBILEN, Selen",2001,TUR,55.49,26.87
201,"SENANSZKY, Petra",1994,HUN,55.51,26.61
202,"FIEDKIEWICZ, Kornelia",2001,POL,55.55,26.73
203,"ANTONIOU, Kalia",2000,CYP,55.56,26.73
204,"JENSEN, Julie Kepp",2000,DEN,55.66,26.59
205,"STANISAVLJEVIC, Nina",2004,SRB,55.69,26.50
206,"PAMMER, Cornelia",2000,AUT,55.74,26.89
207,"COCCONCELLI, Costanza",2002,ITA,55.78,27.14
208,"JANICKOVA, Barbora",2000,CZE,55.80,26.92
209,"GOLD, Aleksa",2000,EST,55.87,26.99
210,"KOSSAKOWSKA, Dominika",2001,POL,55.87,27.18
211,"KOLAROVA, Anna",1997,CZE,55.90,26.64
212,"PINTAR, Tjasa",1997,SLO,55.91,27.21
213,"FELSNER, Jessica",1995,GER,56.01,27.30
214,"STEIGER, Jessica",1992,GER,56.06,26.56
215,"MALUKA, Ieva",2003,LAT,56.11,26.77
216,"SHKURDAI, Anastasiya",2003,BLR,56.18,26.95
217,"MROZINSKI, Julia",2000,GER,56.23,26.88
218,"RICHTER, Leoni",2000,SUI,56.24,27.24
219,"KARAKOUSKAYA, Nastassia",1996,BLR,56.32,27.21
220,"GIRARDET, Noemi",1994,SUI,56.35,27.28
221,"THORMALM, Alma",1996,SWE,56.38,27.06
222,"GANTRIIS, Emily",1999,DEN,56.38,26.68
223,"JUNEVIK, Sara",2000,SWE,56.41,27.25
224,"CAKICI, Ilknur Nihan",1996,TUR,56.47,27.43
225,"POPOVIC, Tanja",2004,SRB,56.60,27.38
226,"JORUNNARDOTTIR, Snaefridu",2000,ISL,56.63,27.35
227,"CIBULKOVA, Martina",2003,SVK,56.88,27.59
228,"IVAN, Teresa",2003,SVK,56.89,27.01
229,"RIPKOVA, Zora",2002,SVK,57.06,27.77
230,"NIKITINA, Gabriela",1994,LAT,57.09,27.24
231,"TOURETSKI, Sasha",1994,SUI,57.28,27.16
232,"GUDMUNDSDOTTIR, Johanna Elin",2001,ISL,57.35,27.62
233,"SHIKLER, Zohar",1997,ISR,57.38,27.10
234,"EMINOVA BLAZEVSKA, Mia",2005,MKD,57.85,27.69
235,"AZZOPARDI, Mya",2002,MLT,58.27,28.12
236,"MANUCHARYAN, Varsenik",2003,ARM,59.00,28.60
237,"RAMIREZ ABELLA, Monica",1993,AND,59.94,28.91
238,"VEDEHHOVA, Alina",1999,EST,1:00.28,29.11
239,"POGHOSYAN, Ani",2000,ARM,1:00.43,28.98
240,"ROCK, Katie",2003,ALB,1:01.39,29.87
241,"ZEQIRI, Eda",2004,KOS,1:01.69,28.87
242,"BUDIMA, Era",2007,KOS,1:05.47,30.95
243,"MACULA, Jona",2004,KOS,1:06.71,31.67
244,"KROMOWIDJOJO, Ranomi",1990,NED,53.56,25.96
